W,sigma_GLC,sigma_BG
309.7,4038.68,6400.77
283.452,3883.39,6157.31
259.429,3737.55,5924.58
237.441,3595.1,5700.55
217.318,3459.47,5485.62
198.899,3328.97,5279.24
182.042,3203.82,5081.08
166.614,3083.58,4890.75
152.493,2968.67,4708.05
139.568,2857.76,4532.48
127.74,2751.68,4363.89
116.913,2649.19,4201.85
107.005,2551.06,4046.25
97.9357,2456.75,3896.77
89.6354,2366.28,3753.17
82.0386,2279.25,3615.2
75.0856,2195.65,3482.63
68.7219,2115.36,3355.27
62.8975,2038.18,3232.89
57.5668,1964.05,3115.29
52.6878,1892.79,3002.28
48.2224,1824.33,2893.69
44.1354,1758.53,2789.33
40.3948,1695.3,2689.04
36.9713,1634.53,2592.64
33.8378,1576.12,2500
30.97,1519.98,2410.95
28.3452,1466.02,2325.36
25.9429,1414.15,2243.09
23.7441,1364.29,2164
21.7318,1316.36,2087.98
19.8899,1270.29,2014.89
18.2042,1225.99,1944.63
16.6614,1183.41,1877.09
15.2493,1142.46,1812.14
13.9568,1103.1,1749.71
12.774,1065.25,1689.68
11.6913,1028.86,1631.95
10.7005,993.874,1576.46
9.79357,960.23,1523.09
