r,N_gbw
1e-08,4.32031e-08
1.02804e-08,4.44147e-08
1.05688e-08,4.56603e-08
1.08652e-08,4.69409e-08
1.11699e-08,4.82573e-08
1.14831e-08,4.96107e-08
1.18052e-08,5.1002e-08
1.21362e-08,5.24323e-08
1.24766e-08,5.39028e-08
1.28265e-08,5.54145e-08
1.31862e-08,5.69685e-08
1.3556e-08,5.85662e-08
1.39362e-08,6.02087e-08
1.4327e-08,6.18972e-08
1.47288e-08,6.36331e-08
1.51419e-08,6.54177e-08
1.55665e-08,6.72523e-08
1.60031e-08,6.91384e-08
1.64519e-08,7.10774e-08
1.69133e-08,7.30707e-08
1.73876e-08,7.51199e-08
1.78753e-08,7.72267e-08
1.83766e-08,7.93925e-08
1.88919e-08,8.1619e-08
1.94217e-08,8.3908e-08
1.99664e-08,8.62612e-08
2.05264e-08,8.86803e-08
2.1102e-08,9.11674e-08
2.16938e-08,9.37241e-08
2.23022e-08,9.63526e-08
2.29277e-08,9.90548e-08
2.35707e-08,1.01833e-07
2.42317e-08,1.04689e-07
2.49113e-08,1.07625e-07
2.56099e-08,1.10643e-07
2.63282e-08,1.13746e-07
2.70665e-08,1.16936e-07
2.78256e-08,1.20215e-07
2.8606e-08,1.23587e-07
2.94082e-08,1.27053e-07
3.02329e-08,1.30616e-07
3.10808e-08,1.34279e-07
3.19525e-08,1.38045e-07
3.28486e-08,1.41916e-07
3.37698e-08,1.45896e-07
3.47169e-08,1.49988e-07
3.56905e-08,1.54194e-07
3.66914e-08,1.58518e-07
3.77204e-08,1.62964e-07
3.87783e-08,1.67534e-07
3.98658e-08,1.72233e-07
4.09838e-08,1.77063e-07
4.21332e-08,1.82029e-07
4.33148e-08,1.87134e-07
4.45296e-08,1.92382e-07
4.57784e-08,1.97777e-07
4.70622e-08,2.03324e-07
4.83821e-08,2.09026e-07
4.9739e-08,2.14888e-07
5.11339e-08,2.20914e-07
5.25679e-08,2.2711e-07
5.40422e-08,2.33479e-07
5.55578e-08,2.40027e-07
5.71159e-08,2.46758e-07
5.87177e-08,2.53679e-07
6.03644e-08,2.60793e-07
6.20573e-08,2.68107e-07
6.37977e-08,2.75626e-07
6.55869e-08,2.83356e-07
6.74262e-08,2.91302e-07
6.93172e-08,2.99472e-07
7.12612e-08,3.0787e-07
7.32597e-08,3.16505e-07
7.53142e-08,3.25381e-07
7.74264e-08,3.34506e-07
7.95978e-08,3.43887e-07
8.18301e-08,3.53531e-07
8.4125e-08,3.63446e-07
8.64842e-08,3.73639e-07
8.89097e-08,3.84117e-07
9.14031e-08,3.9489e-07
9.39665e-08,4.05964e-07
9.66017e-08,4.1735e-07
9.93109e-08,4.29054e-07
1.02096e-07,4.41087e-07
1.04959e-07,4.53457e-07
1.07903e-07,4.66174e-07
1.10929e-07,4.79248e-07
1.1404e-07,4.92688e-07
1.17238e-07,5.06505e-07
1.20526e-07,5.2071e-07
1.23906e-07,5.35313e-07
1.27381e-07,5.50326e-07
1.30954e-07,5.6576e-07
1.34626e-07,5.81626e-07
1.38402e-07,5.97938e-07
1.42283e-07,6.14707e-07
1.46273e-07,6.31946e-07
1.50376e-07,6.49669e-07
1.54593e-07,6.67889e-07
1.58928e-07,6.8662e-07
1.63385e-07,7.05876e-07
1.67967e-07,7.25672e-07
1.72678e-07,7.46023e-07
1.77521e-07,7.66945e-07
