y,d_sigma_dy_GLC,d_sigma_dy_BG
-7.45629,0,0
-7.38172,1.86632e+65,1.77678e+65
-7.30716,5.54926e+26,5.287e+26
-7.00891,24622.6,23532.5
-7.2326,6.98175e+14,6.65686e+14
-7.08347,1.87513e+06,1.79067e+06
-7.15803,2.1466e+09,2.0483e+09
-6.85978,200.877,192.365
-6.78522,49.9171,47.9071
-6.93435,1426.38,1364.4
-6.56153,5.12339,5.07117
-6.71066,18.207,17.56
-6.63609,8.72573,8.49827
-6.48697,3.51421,3.5573
-6.41241,2.71734,2.82521
-6.11415,1.95874,2.25195
-6.26328,2.08682,2.29301
-6.18872,1.98705,2.23721
-6.33784,2.30189,2.46172
-6.03959,1.97746,2.31347
-5.96503,2.02867,2.40749
-5.89047,2.10317,2.52482
-5.8159,2.19481,2.65927
-5.74134,2.29929,2.80641
-5.66678,2.4135,2.96293
-5.59221,2.53506,3.12632
-5.44309,2.79324,3.46603
-5.36853,2.92721,3.63939
-5.51765,2.66212,3.29456
-5.29396,3.06306,3.81353
-5.2194,3.19996,3.98752
-5.07027,3.47429,4.33202
-5.14484,3.33723,4.16057
-4.99571,3.61064,4.50129
-4.92115,3.74588,4.66793
-4.84659,3.87963,4.83153
-4.77202,4.01161,4.99176
-4.69746,4.14155,5.14835
-4.6229,4.26926,5.30106
-4.47377,4.51725,5.59421
-4.39921,4.63728,5.73439
-4.54833,4.39454,5.44973
-4.32465,4.75452,5.8702
-4.25008,4.86891,6.00158
-4.17552,4.98038,6.1285
-4.10096,5.08889,6.25095
-4.02639,5.19441,6.36895
-3.87727,5.39646,6.59167
-3.95183,5.29694,6.48251
-3.80271,5.49298,6.69649
-3.72814,5.58651,6.79702
-3.65358,5.67707,6.89332
-3.57902,5.76469,6.98548
-3.50445,5.84941,7.07358
-3.42989,5.93125,7.15771
-3.35533,6.01025,7.23794
-3.28077,6.08646,7.3144
-3.13164,6.23071,7.45634
-3.2062,6.15993,7.38716
-3.05708,6.29884,7.52204
-2.98251,6.36438,7.58436
-2.90795,6.42737,7.64342
-2.83339,6.48789,7.69931
-2.75883,6.54597,7.75215
-2.68426,6.60168,7.80205
-2.46057,6.75514,7.93516
-2.6097,6.65508,7.84911
-2.53514,6.70621,7.89345
-2.38601,6.80193,7.97436
-2.23689,6.88926,8.04562
-2.31145,6.84661,8.01114
-2.08776,6.96867,8.10805
-1.93863,7.04055,8.16244
-2.16232,6.92993,8.07789
-2.0132,7.00552,8.1362
-1.86407,7.07381,8.18686
-1.78951,7.10534,8.20954
-1.71495,7.13518,8.23058
-1.64038,7.1634,8.25007
-1.56582,7.19003,8.26808
-1.49126,7.21511,8.2847
-1.41669,7.23869,8.3
-1.34213,7.26081,8.31406
-1.19301,7.30082,8.33872
-1.11844,7.31878,8.34945
-1.26757,7.28151,8.32694
-1.04388,7.33542,8.35921
-0.969317,7.35078,8.36804
-0.894754,7.36488,8.376
