t,dsigma_dt_GLC,dsigma_dt_BG
0.134228,86.7966,95.2498
0.187919,69.0931,76.0905
0.107383,97.256,106.547
0.214765,61.6278,67.9944
0.0268456,136.68,149.022
0.161074,77.4479,85.1387
0.241611,54.9581,60.7509
0.0805369,108.957,119.17
0,153.047,166.614
0.0536913,122.044,133.271
0.322148,38.9269,43.2906
0.268456,49.0001,54.2709
0.483221,19.4066,21.8825
0.348993,34.6841,38.6546
0.42953,24.4992,27.4901
0.295302,43.6788,48.4747
0.375839,30.8965,34.5093
0.456376,21.8076,24.5289
0.510067,17.2652,19.5177
0.402685,27.516,30.8032
0.536913,15.3557,17.405
0.671141,8.50684,9.78296
0.751678,5.94421,6.90381
0.61745,10.7842,12.3268
0.563758,13.6534,15.5177
0.778523,5.27078,6.14323
0.590604,12.1362,13.8321
0.644295,9.57967,10.9828
0.697987,7.55154,8.71208
0.724832,6.70109,7.75645
0.805369,4.67176,5.4649
0.85906,3.66559,4.32084
0.993289,1.9827,2.38819
0.832215,4.1391,4.86005
0.939597,2.53898,3.03052
0.885906,3.2448,3.84026
1.04698,1.54493,1.87919
0.912752,2.87097,3.41202
0.966443,2.24425,2.69073
1.02013,1.75068,2.11887
1.07383,1.36256,1.66596
1.20805,0.720019,0.906285
1.12752,1.05788,1.30767
1.10067,1.20098,1.4763
1.2349,0.632416,0.801232
1.15436,0.931207,1.15778
1.18121,0.819131,1.02459
1.26174,0.555028,0.707984
1.28859,0.486704,0.625245
1.31544,0.426416,0.551861
1.34228,0.373254,0.4868
1.39597,0.285147,0.378069
1.36913,0.326405,0.429142
1.42282,0.248839,0.332849
1.47651,0.188856,0.257434
1.44966,0.216911,0.292831
1.50336,0.164225,0.226141
1.5302,0.142619,0.198491
1.55705,0.123683,0.174075
1.58389,0.107103,0.152526
1.61074,0.0926008,0.13352
1.63758,0.0799293,0.116768
1.66443,0.0688698,0.102012
1.69128,0.0592289,0.0890249
1.71812,0.0508352,0.077602
1.74497,0.0435372,0.0675633
1.77181,0.0372009,0.0587483
1.79866,0.031708,0.0510147
1.8255,0.026954,0.0442359
1.85235,0.0228467,0.0382999
1.87919,0.0193048,0.0331072
1.90604,0.0162566,0.0285697
1.93289,0.0136391,0.0246092
1.95973,0.0113967,0.0211566
2.01342,0.00784792,0.015537
1.98658,0.00948058,0.0181506
2.04027,0.00646106,0.013268
2.06711,0.005287,0.0113012
2.12081,0.00346527,0.00812903
2.09396,0.00429684,0.00959921
2.14765,0.00277018,0.00686156
2.1745,0.00219228,0.00577113
2.20134,0.00171474,0.00483514
2.22819,0.00132291,0.00403369
2.25503,0.00100404,0.00334928
2.28188,0.000747075,0.00276655
2.38926,0.000165111,0.00120612
2.33557,0.000381835,0.00185376
2.30872,0.000542437,0.00227199
2.36242,0.000258114,0.0015015
2.41611,9.75298e-05,0.000959675
2.44295,5.08299e-05,0.000755247
2.4698,2.11314e-05,0.000586784
2.52349,1.44455e-08,0.000337386
2.55034,3.41575e-06,0.000247897
2.60403,2.80955e-05,0.000122052
2.49664,5.12849e-06,0.000449023
2.65772,6.68125e-05,4.91649e-05
2.57718,1.33341e-05,0.000177113
2.63087,4.63061e-05,8.01411e-05
2.68456,8.86687e-05,2.72182e-05
2.71141,0.000111105,1.26684e-05
2.7651,0.000155377,3.856e-07
2.73826,0.000133504,4.12034e-06
2.79195,0.000176342,4.55474e-07
2.84564,0.000214473,8.73365e-06
2.81879,0.000196111,3.4773e-06
2.89933,0.000246443,2.36488e-05
2.87248,0.000231282,1.5624e-05
2.92617,0.000259909,3.23954e-05
2.95302,0.000271665,4.15257e-05
2.97987,0.000281727,5.07657e-05
3.00671,0.000290133,5.98957e-05
3.08725,0.000306049,8.5086e-05
3.0604,0.000302219,7.7173e-05
3.03356,0.00029694,6.87428e-05
3.11409,0.000308518,9.24091e-05
3.14094,0.000309718,9.90928e-05
3.16779,0.000309743,0.000105107
3.19463,0.000308688,0.000110438
3.22148,0.000306649,0.000115084
3.24832,0.000303717,0.000119054
3.27517,0.000299983,0.000122365
3.30201,0.000295534,0.000125042
3.3557,0.000284821,0.000128611
3.32886,0.000290454,0.000127114
3.4094,0.000272191,0.000130027
3.38255,0.00027871,0.00012957
3.43624,0.00026533,0.000130018
3.46309,0.000258188,0.000129581
3.48993,0.00025082,0.000128754
3.51678,0.000243278,0.000127571
3.54362,0.000235611,0.000126069
3.59732,0.000220068,0.000122242
3.57047,0.000227861,0.000124282
3.65101,0.000204489,0.000117525
3.62416,0.000212266,0.00011998
3.67785,0.000196765,0.000114905
3.7047,0.000189118,0.000112144
3.73154,0.00018157,0.000109269
3.78523,0.000166852,0.000103256
3.75839,0.000174143,0.000106299
3.81208,0.000159711,0.000100158
3.83893,0.000152734,9.70234e-05
3.86577,0.00014593,9.38667e-05
3.91946,0.000132874,8.7543e-05
3.97315,0.000120591,8.1284e-05
3.94631,0.000126634,8.44001e-05
3.89262,0.000139308,9.07023e-05
4,0.000114748,7.82034e-05
