r,overlap_GLC,overlap_BG
1.97239e-05,3.50045e-05,4.69479e-05
1.99525e-05,3.53651e-05,4.7432e-05
2.01838e-05,3.57293e-05,4.79209e-05
2.04177e-05,3.60973e-05,4.84148e-05
2.06544e-05,3.64689e-05,4.89137e-05
2.08938e-05,3.68444e-05,4.94176e-05
2.1136e-05,3.72236e-05,4.99267e-05
2.1381e-05,3.76067e-05,5.0441e-05
2.16288e-05,3.79936e-05,5.09604e-05
2.18795e-05,3.83845e-05,5.14851e-05
2.21331e-05,3.87793e-05,5.20152e-05
2.23896e-05,3.91781e-05,5.25506e-05
2.26492e-05,3.9581e-05,5.30914e-05
2.29117e-05,3.99879e-05,5.36377e-05
2.31773e-05,4.0399e-05,5.41895e-05
2.34459e-05,4.08142e-05,5.4747e-05
2.37177e-05,4.12336e-05,5.531e-05
2.39926e-05,4.16572e-05,5.58788e-05
2.42707e-05,4.20851e-05,5.64533e-05
2.4552e-05,4.25174e-05,5.70336e-05
2.48366e-05,4.2954e-05,5.76198e-05
2.51245e-05,4.3395e-05,5.8212e-05
2.54157e-05,4.38405e-05,5.88101e-05
2.57103e-05,4.42905e-05,5.94142e-05
2.60083e-05,4.4745e-05,6.00245e-05
2.63098e-05,4.52041e-05,6.06409e-05
2.66147e-05,4.56678e-05,6.12636e-05
2.69232e-05,4.61362e-05,6.18925e-05
2.72353e-05,4.66093e-05,6.25278e-05
2.7551e-05,4.70872e-05,6.31695e-05
2.78703e-05,4.757e-05,6.38176e-05
2.81934e-05,4.80575e-05,6.44724e-05
2.85202e-05,4.855e-05,6.51337e-05
2.88508e-05,4.90475e-05,6.58017e-05
2.91852e-05,4.95499e-05,6.64764e-05
2.95235e-05,5.00575e-05,6.71579e-05
2.98657e-05,5.05701e-05,6.78463e-05
3.02118e-05,5.10879e-05,6.85416e-05
3.0562e-05,5.16109e-05,6.92439e-05
3.09163e-05,5.21391e-05,6.99533e-05
3.12746e-05,5.26727e-05,7.06699e-05
3.16371e-05,5.32116e-05,7.13936e-05
3.20039e-05,5.3756e-05,7.21246e-05
3.23748e-05,5.43058e-05,7.2863e-05
3.27501e-05,5.48611e-05,7.36088e-05
3.31297e-05,5.54221e-05,7.43622e-05
3.35137e-05,5.59886e-05,7.51231e-05
3.39022e-05,5.65608e-05,7.58916e-05
3.42951e-05,5.71388e-05,7.66679e-05
3.46926e-05,5.77226e-05,7.74519e-05
3.50948e-05,5.83123e-05,7.82439e-05
3.55015e-05,5.89078e-05,7.90437e-05
3.59131e-05,5.95093e-05,7.98517e-05
3.63293e-05,6.01169e-05,8.06677e-05
3.67504e-05,6.07305e-05,8.14919e-05
3.71764e-05,6.13503e-05,8.23244e-05
3.76073e-05,6.19763e-05,8.31652e-05
3.80432e-05,6.26086e-05,8.40145e-05
3.84842e-05,6.32472e-05,8.48723e-05
3.89303e-05,6.38922e-05,8.57387e-05
3.93815e-05,6.45437e-05,8.66138e-05
3.9838e-05,6.52016e-05,8.74976e-05
4.02997e-05,6.58662e-05,8.83903e-05
4.07669e-05,6.65374e-05,8.92919e-05
4.12394e-05,6.72153e-05,9.02025e-05
4.17174e-05,6.79e-05,9.11223e-05
4.2201e-05,6.85915e-05,9.20513e-05
4.26901e-05,6.92899e-05,9.29895e-05
4.31849e-05,6.99953e-05,9.39372e-05
