Y,rap_GLC,rap_BG
-8.34227,0,0
-8.25885,0.0271835,0.0391138
-8.17543,0.0405045,0.0581967
-8.092,0.0593781,0.0851887
-8.00858,0.0854371,0.122392
-7.92516,0.120476,0.172319
-7.84173,0.166364,0.237567
-7.75831,0.224948,0.320662
-7.67489,0.297957,0.423911
-7.59147,0.386909,0.549268
-7.50804,0.493043,0.698231
-7.42462,0.617268,0.871777
-7.3412,0.760137,1.07033
-7.25778,0.921837,1.29379
-7.17435,1.10221,1.54152
-7.09093,1.30076,1.8125
-7.00751,1.51673,2.10528
-6.92408,1.74912,2.41817
-6.84066,1.99672,2.74924
-6.75724,2.25818,3.09642
-6.67382,2.53207,3.45757
-6.59039,2.81688,3.83053
-6.50697,3.11108,4.21313
-6.42355,3.41315,4.6033
-6.34013,3.7216,4.99904
-6.2567,4.03498,5.39844
-6.17328,4.35192,5.79975
-6.08986,4.67114,6.20132
-6.00643,4.99144,6.60165
-5.92301,5.3117,6.9994
-5.83959,5.63092,7.39332
-5.75617,5.94817,7.78233
-5.67274,6.26265,8.16547
-5.58932,6.57361,8.5419
-5.5059,6.88041,8.91089
-5.42248,7.1825,9.27183
-5.33905,7.47939,9.62418
-5.25563,7.77066,9.96751
-5.17221,8.05597,10.3015
-5.08879,8.33503,10.6258
-5.00536,8.6076,10.9403
-4.92194,8.8735,11.2448
-4.83852,9.13258,11.5391
-4.75509,9.38475,11.8233
-4.67167,9.62994,12.0974
-4.58825,9.8681,12.3613
-4.50483,10.0992,12.6152
-4.4214,10.3233,12.8591
-4.33798,10.5404,13.0932
-4.25456,10.7506,13.3175
-4.17114,10.9539,13.5323
-4.08771,11.1504,13.7378
-4.00429,11.3402,13.934
-3.92087,11.5234,14.1213
-3.83744,11.7002,14.2997
-3.75402,11.8705,14.4697
-3.6706,12.0346,14.6313
-3.58718,12.1925,14.7848
-3.50375,12.3444,14.9304
-3.42033,12.4905,15.0684
-3.33691,12.6308,15.1991
-3.25349,12.7655,15.3226
-3.17006,12.8947,15.4392
-3.08664,13.0186,15.5492
-3.00322,13.1372,15.6527
-2.91979,13.2508,15.7502
-2.83637,13.3595,15.8417
-2.75295,13.4634,15.9275
-2.66953,13.5625,16.0079
-2.5861,13.6572,16.0831
-2.50268,13.7474,16.1534
-2.41926,13.8334,16.2189
-2.33584,13.9151,16.2799
-2.25241,13.9928,16.3366
-2.16899,14.0666,16.3892
-2.08557,14.1366,16.4379
-2.00214,14.2029,16.483
-1.91872,14.2656,16.5246
-1.8353,14.3248,16.5629
-1.75188,14.3806,16.5981
-1.66845,14.4331,16.6305
-1.58503,14.4824,16.66
-1.50161,14.5287,16.6871
-1.41819,14.5719,16.7117
-1.33476,14.6122,16.7341
-1.25134,14.6496,16.7544
-1.16792,14.6843,16.7727
-1.0845,14.7163,16.7891
-1.00107,14.7456,16.8039
-0.91765,14.7724,16.817
-0.834227,14.7966,16.8286
-0.750804,14.8184,16.8389
-0.667382,14.8377,16.8478
-0.583959,14.8547,16.8555
-0.500536,14.8693,16.862
-0.417114,14.8816,16.8674
-0.333691,14.8917,16.8718
-0.250268,14.8994,16.8751
-0.166845,14.905,16.8775
-0.0834227,14.9083,16.8789
0,14.9094,16.8794
0.0834227,14.9083,16.8789
0.166845,14.905,16.8775
0.250268,14.8994,16.8751
0.333691,14.8917,16.8718
0.417114,14.8816,16.8674
0.500536,14.8693,16.862
0.583959,14.8547,16.8555
0.667382,14.8377,16.8478
0.750804,14.8184,16.8389
0.834227,14.7966,16.8286
0.91765,14.7724,16.817
1.00107,14.7456,16.8039
1.0845,14.7163,16.7891
1.16792,14.6843,16.7727
1.25134,14.6496,16.7544
1.33476,14.6122,16.7341
1.41819,14.5719,16.7117
1.50161,14.5287,16.6871
1.58503,14.4824,16.66
1.66845,14.4331,16.6305
1.75188,14.3806,16.5981
1.8353,14.3248,16.5629
1.91872,14.2656,16.5246
2.00214,14.2029,16.483
2.08557,14.1366,16.4379
2.16899,14.0666,16.3892
2.25241,13.9928,16.3366
2.33584,13.9151,16.2799
2.41926,13.8334,16.2189
2.50268,13.7474,16.1534
2.5861,13.6572,16.0831
2.66953,13.5625,16.0079
2.75295,13.4634,15.9275
