y,d_sigma_dy_GLC,d_sigma_dy_BG
-7.43745,0,0
-7.2887,0.0271769,0.0376487
-6.84246,0.166402,0.228017
-7.36308,0.0190833,0.0264821
-6.91683,0.128191,0.175998
-7.21433,0.0382224,0.0528581
-6.76808,0.212458,0.290541
-7.06558,0.0723274,0.0996676
-7.13995,0.052992,0.0731539
-6.99121,0.0971044,0.133567
-6.69371,0.266953,0.36429
-6.61933,0.330324,0.449757
-6.54496,0.402838,0.54719
-6.39621,0.575508,0.777714
-6.47058,0.484591,0.656588
-6.17309,0.900277,1.20605
-6.24746,0.783776,1.05316
-6.32183,0.675359,0.910115
-6.09871,1.02428,1.3679
-6.02434,1.15515,1.53772
-5.94996,1.29219,1.71449
-5.87559,1.43466,1.89715
-5.80121,1.58183,2.08466
-5.13184,3.00359,3.83608
-5.05747,3.16144,4.0238
-5.72684,1.73296,2.27598
-5.65246,1.88733,2.47012
-5.57809,2.04423,2.66613
-5.50371,2.20299,2.86314
-5.35497,2.52355,3.25683
-5.42934,2.36297,3.06029
-5.28059,2.68419,3.45206
-5.20622,2.84436,3.64533
-4.98309,3.31751,4.20803
-4.90872,3.47147,4.38838
-4.83434,3.62298,4.56451
-4.6856,3.91765,4.90301
-4.75997,3.77179,4.73614
-4.53685,4.1997,5.22173
-4.46247,4.33558,5.37329
-4.3881,4.46785,5.51953
-4.61122,4.06034,5.06492
-4.31372,4.59643,5.66038
-4.23935,4.72123,5.7958
-4.16497,4.8422,5.92579
-4.0906,4.9593,6.05037
-4.01622,5.07253,6.16956
-3.94185,5.18187,6.28342
-3.86748,5.28734,6.39202
-3.7931,5.38895,6.49543
-3.71873,5.48675,6.59375
-3.64435,5.58077,6.68708
-3.56998,5.67107,6.77554
-3.42123,5.84073,6.93831
-3.4956,5.7577,6.85923
-2.75186,6.43895,7.46465
-2.67748,6.49044,7.50523
-3.34685,5.92024,7.01288
-3.27248,5.99629,7.08309
-3.12373,6.13835,7.21101
-3.1981,6.06896,7.14909
-3.04936,6.20452,7.26901
-2.97498,6.26758,7.32322
-2.90061,6.32762,7.3738
-2.82623,6.38471,7.42089
-2.60311,6.53926,7.54276
-2.52873,6.58552,7.57739
-2.45436,6.62929,7.60928
-2.37998,6.67067,7.63856
-2.30561,6.70975,7.66537
-2.23124,6.74662,7.68985
-2.15686,6.78136,7.71213
-2.08249,6.81406,7.73235
-1.93374,6.87366,7.76711
-2.00811,6.8448,7.75063
-1.85936,6.90074,7.7819
-1.78499,6.92609,7.79511
-1.71061,6.9498,7.80688
-1.56187,6.99258,7.82648
-1.63624,6.97194,7.8173
-1.48749,7.01179,7.83453
-1.33874,7.04618,7.84763
-1.41312,7.02964,7.84155
-1.26437,7.06148,7.85285
-1.18999,7.07559,7.85731
-1.11562,7.08857,7.86109
-1.04124,7.10047,7.86426
-0.371873,7.16581,7.87579
-0.297498,7.16902,7.87606
-0.966869,7.11134,7.8669
-0.892494,7.12122,7.86907
-0.81812,7.13015,7.87083
-0.669371,7.14533,7.87337
-0.743745,7.13817,7.87225
-0.520622,7.15714,7.87492
-0.594996,7.15164,7.87425
-0.446247,7.16186,7.87542
-0.223124,7.1715,7.87624
-0.148749,7.17326,7.87636
-0.0743745,7.17432,7.87642
