W,sigma_GLC,sigma_BG
25,21.7605,21.2819
26.2387,23.0286,22.561
27.5387,24.3336,23.8814
28.9032,25.6769,25.2447
30.3352,27.0598,26.6527
31.8382,18.316,18.0739
33.4157,19.2593,19.0405
35.0714,20.2312,20.0397
36.8091,21.2328,21.0728
38.6328,22.2654,22.1414
40.547,23.3301,23.2469
42.5559,24.4281,24.3908
44.6644,25.5607,25.5747
46.8774,26.7291,26.8003
49.2001,27.9348,28.0693
51.6378,29.1789,29.3833
54.1963,30.463,30.7441
56.8815,31.7882,32.1536
59.6998,33.156,33.6135
62.6577,34.5679,35.1258
65.7622,36.0252,36.6924
69.0206,37.5293,38.3152
72.4403,39.0817,39.9962
76.0295,40.6839,41.7374
79.7965,42.3372,43.5409
83.7502,44.0432,45.4089
87.8997,45.8033,47.3433
92.2549,47.619,49.3464
96.8258,49.4917,51.4203
101.623,51.4229,53.5672
106.658,53.4141,55.7895
111.943,55.4668,58.0892
117.489,57.5824,60.4688
123.311,59.7623,62.9305
129.42,62.0081,65.4766
135.833,64.3211,68.1096
142.563,66.7027,70.8316
149.626,69.1545,73.6451
157.04,71.6776,76.5525
164.821,74.2736,79.5561
172.987,76.9438,82.6584
181.558,79.6894,85.8616
190.553,82.5118,89.1683
199.995,85.4123,92.5806
209.904,88.392,96.1011
220.304,91.4522,99.7321
231.219,94.5941,103.476
242.676,97.8187,107.335
254.699,101.127,111.311
267.319,104.521,115.407
280.564,108,119.625
294.465,111.566,123.967
309.055,115.22,128.435
324.367,118.962,133.032
340.439,122.794,137.759
357.306,126.716,142.618
375.01,130.728,147.612
393.59,134.832,152.742
413.091,139.028,158.01
433.559,143.316,163.417
455.04,147.697,168.966
477.586,152.171,174.659
501.249,156.739,180.495
526.084,161.4,186.477
552.15,166.154,192.607
579.507,171.002,198.885
608.22,175.944,205.312
638.356,180.979,211.89
669.984,186.108,218.619
703.18,191.329,225.5
738.02,196.643,232.533
774.587,202.049,239.72
812.965,207.547,247.061
853.245,213.135,254.555
895.52,218.814,262.202
939.891,224.582,270.004
986.459,230.438,277.959
1035.34,236.382,286.068
1086.63,242.413,294.329
1140.47,248.528,302.743
1196.98,254.727,311.308
1256.29,261.009,320.024
1318.53,267.373,328.889
1383.86,273.816,337.902
1452.43,280.337,347.062
1524.39,286.935,356.368
1599.92,293.607,365.817
1679.19,300.352,375.408
1762.39,307.169,385.139
1849.71,314.054,395.007
1941.35,321.007,405.011
2037.54,328.024,415.148
2138.5,335.104,425.415
2244.45,342.245,435.81
2355.66,349.444,446.33
2472.37,356.699,456.971
2594.87,364.008,467.732
2723.44,371.367,478.607
2858.38,378.775,489.595
3000,386.229,500.691
