W,sigma_GLC,sigma_BG
25,35.2162,37.8408
26.2387,37.2354,40.1036
27.5387,39.3084,42.4366
28.9032,41.4371,44.8422
30.3352,43.6233,47.3232
31.8382,29.495,32.0759
33.4157,30.9784,33.7738
35.0714,32.5027,35.5259
36.8091,34.0691,37.3344
38.6328,35.6792,39.2013
40.547,37.3344,41.129
42.5559,39.0362,43.1196
44.6644,40.7862,45.1755
46.8774,42.5857,47.299
49.2001,44.4364,49.4927
51.6378,46.3398,51.7589
54.1963,48.2974,54.1001
56.8815,50.3107,56.5188
59.6998,52.3814,59.0175
62.6577,54.5109,61.599
65.7622,56.7007,64.2656
69.0206,58.9524,67.0201
72.4403,61.2673,69.865
76.0295,63.6471,72.803
79.7965,66.093,75.8366
83.7502,68.6066,78.9686
87.8997,71.1892,82.2016
92.2549,73.8421,85.5382
96.8258,76.5667,88.9809
101.623,79.3642,92.5325
106.658,82.236,96.1954
111.943,85.1831,99.9723
117.489,88.2068,103.866
123.311,91.3082,107.878
129.42,94.4883,112.012
135.833,97.7481,116.27
142.563,101.089,120.654
149.626,104.511,125.166
157.04,108.015,129.81
164.821,111.603,134.587
172.987,115.275,139.499
181.558,119.031,144.548
190.553,122.872,149.737
199.995,126.799,155.067
209.904,130.812,160.54
220.304,134.911,166.158
231.219,139.098,171.922
242.676,143.371,177.835
254.699,147.731,183.897
267.319,152.178,190.11
280.564,156.712,196.476
294.465,161.333,202.994
309.055,166.041,209.667
324.367,170.835,216.494
340.439,175.715,223.477
357.306,180.681,230.617
375.01,185.732,237.913
393.59,190.867,245.366
413.091,196.086,252.977
433.559,201.387,260.744
455.04,206.771,268.668
477.586,212.235,276.749
501.249,217.779,284.986
526.084,223.402,293.378
552.15,229.102,301.924
579.507,234.878,310.624
608.22,240.728,319.476
638.356,246.652,328.479
669.984,252.647,337.632
703.18,258.711,346.932
738.02,264.844,356.378
774.587,271.043,365.968
812.965,277.306,375.7
853.245,283.632,385.571
895.52,290.018,395.578
939.891,296.462,405.72
986.459,302.961,415.993
1035.34,309.515,426.394
1086.63,316.12,436.921
1140.47,322.774,447.569
1196.98,329.475,458.335
1256.29,336.22,469.216
1318.53,343.006,480.208
1383.86,349.832,491.307
1452.43,356.694,502.509
1524.39,363.59,513.81
1599.92,370.518,525.206
1679.19,377.474,536.693
1762.39,384.456,548.265
1849.71,391.461,559.919
1941.35,398.487,571.649
2037.54,405.53,583.452
2138.5,412.588,595.322
2244.45,419.658,607.254
2355.66,426.737,619.244
2472.37,433.823,631.286
2594.87,440.913,643.376
2723.44,448.003,655.507
2858.38,455.091,667.676
3000,462.175,679.878
