W,sigma_GLC,sigma_BG
309.7,329.925,390.294
283.452,311.748,366.636
259.429,294.293,344.095
237.441,277.554,322.647
217.318,261.521,302.264
198.899,246.185,282.919
182.042,231.534,264.58
166.614,217.554,247.215
152.493,204.23,230.793
139.568,191.547,215.279
127.74,179.487,200.638
116.913,168.033,186.837
107.005,157.165,173.84
97.9357,146.865,161.611
89.6354,137.111,150.115
82.0386,127.884,139.318
75.0856,119.163,129.185
68.7219,110.926,119.681
62.8975,103.151,110.773
57.5668,95.8184,102.428
52.6878,88.9057,94.6143
48.2224,82.3919,87.3
44.1354,76.2559,80.4549
40.3948,70.4769,74.0496
36.9713,65.0345,68.0556
33.8378,59.9085,62.4454
30.97,55.0796,57.1929
28.3452,50.5286,52.2729
25.9429,46.2372,47.6613
23.7441,42.188,43.3357
21.7318,38.3642,39.2747
19.8899,34.7501,35.4585
18.2042,31.3314,31.8689
16.6614,28.0951,28.4895
15.2493,25.0297,25.3061
13.9568,22.1262,22.3066
12.774,19.3776,19.4817
11.6913,16.7798,16.8252
10.7005,14.3322,14.3342
9.79357,12.0377,12.0096
