W,sigma_GLC,sigma_BG
3.097,0,0
3.28483,3.69287e-10,5.56093e-10
3.48404,3.06368e-07,4.6182e-07
3.69534,1.24877e-05,1.88438e-05
3.91945,0.000149367,0.000225639
4.15716,0.000917854,0.00138809
4.40928,0.00371818,0.00562957
4.67669,0.0113413,0.0171918
4.96032,0.0281969,0.0427945
5.26115,0.060135,0.0913813
5.58023,0.113909,0.17332
5.91865,0.19645,0.299305
6.27761,0.314139,0.479264
6.65833,0.472234,0.721468
7.06214,0.674513,1.03198
7.49044,0.923143,1.41446
7.94471,1.21875,1.87022
8.42654,1.5606,2.39853
8.93759,1.94693,2.99705
9.47963,2.37515,3.66224
10.0545,2.84226,4.38982
10.6643,3.34501,5.1752
11.3111,3.88014,6.01372
11.9971,4.44458,6.90098
12.7247,5.0355,7.83298
13.4964,5.65043,8.80624
14.3149,6.28731,9.81789
15.1831,6.94446,10.8656
16.1039,7.62059,11.9479
17.0806,8.31481,13.0635
18.1165,9.02657,14.212
19.2152,9.75563,15.3935
20.3805,10.502,16.6083
21.6165,11.2661,17.8572
22.9275,12.0483,19.1416
24.318,12.8494,20.463
25.7929,13.6702,21.823
27.3571,14.5116,23.2238
29.0163,15.3749,24.6676
30.776,16.261,26.1568
32.6425,17.1713,27.694
34.6222,18.1071,29.2817
36.722,19.0698,30.9228
38.9491,20.0606,32.6203
41.3112,21.081,34.3769
43.8166,22.1325,36.1958
46.474,23.2163,38.0801
49.2926,24.3341,40.033
52.282,25.4872,42.0575
55.4528,26.677,44.157
58.8159,27.905,46.3346
62.3829,29.1726,48.5938
66.1663,30.4811,50.9378
70.1791,31.832,53.3699
74.4353,33.2265,55.8936
78.9496,34.6661,58.5121
83.7377,36.1519,61.2288
88.8162,37.6853,64.0471
94.2026,39.2676,66.9703
99.9158,40.8998,70.0018
105.975,42.5833,73.1449
112.403,44.319,76.4029
119.219,46.1082,79.7791
126.45,47.9517,83.2766
134.119,49.8506,86.8987
142.253,51.8059,90.6484
150.88,53.8184,94.5289
160.03,55.8889,98.5431
169.736,58.0182,102.694
180.03,60.2069,106.984
190.948,62.4557,111.417
202.529,64.7652,115.994
214.812,67.1358,120.719
227.839,69.568,125.593
241.657,72.062,130.62
256.313,74.6182,135.8
271.858,77.2366,141.136
288.346,79.9174,146.631
305.833,82.6606,152.284
324.381,85.4661,158.099
344.054,88.3336,164.076
364.92,91.263,170.216
387.051,94.2539,176.52
410.525,97.3058,182.988
435.422,100.418,189.622
461.83,103.59,196.421
489.838,106.822,203.386
519.546,110.111,210.515
551.055,113.458,217.809
584.475,116.861,225.267
619.922,120.319,232.887
657.519,123.832,240.669
697.396,127.396,248.61
739.691,131.013,256.709
784.551,134.679,264.965
832.132,138.393,273.374
882.599,142.154,281.934
936.127,145.96,290.642
992.9,149.809,299.495
1053.12,153.699,308.49
1116.99,157.628,317.623
1184.73,161.595,326.89
1256.58,165.596,336.287
1332.79,169.631,345.81
1413.62,173.697,355.453
1499.35,177.791,365.214
1590.28,181.912,375.085
1686.73,186.056,385.063
1789.02,190.222,395.141
1897.52,194.407,405.314
2012.6,198.609,415.577
2134.66,202.825,425.923
2264.13,207.053,436.346
2401.44,211.29,446.84
2547.08,215.534,457.4
2701.55,219.782,468.017
2865.4,224.031,478.686
3039.18,228.28,489.401
3223.49,232.525,500.153
3418.99,236.765,510.938
3626.34,240.995,521.747
3846.27,245.216,532.575
4079.54,249.422,543.413
4326.95,253.613,554.256
4589.37,257.786,565.097
4867.71,261.938,575.928
5162.92,266.068,586.743
5476.04,270.172,597.535
5808.15,274.249,608.297
6160.4,278.297,619.024
6534.01,282.312,629.708
6930.28,286.295,640.343
7350.58,290.241,650.922
7796.38,294.15,661.44
8269.21,298.019,671.89
8770.72,301.846,682.267
9302.64,305.63,692.564
9866.82,309.37,702.776
10465.2,313.063,712.898
11099.9,316.707,722.924
11773.1,320.302,732.849
12487.1,323.846,742.667
13244.4,327.338,752.375
14047.6,330.776,761.968
14899.6,334.159,771.441
15803.2,337.486,780.789
16761.7,340.755,790.01
17778.2,343.967,799.099
18856.4,347.12,808.052
20000,350.212,816.866
