r,z,phi_T,phi_L
1.97239e-05,0,0,0
1.97239e-05,0.00502513,3.07484e-05,0.0041499
1.97239e-05,0.0100503,0.000121755,0.00825787
1.97239e-05,0.0150754,0.000271174,0.0123239
1.97239e-05,0.0201005,0.00047718,0.0163481
1.97239e-05,0.0251256,0.000737966,0.0203303
1.97239e-05,0.0301508,0.00105174,0.0242706
1.97239e-05,0.0351759,0.00141674,0.028169
1.97239e-05,0.040201,0.00183122,0.0320255
1.97239e-05,0.0452261,0.00229343,0.03584
1.97239e-05,0.0502513,0.00280167,0.0396126
1.97239e-05,0.0552764,0.00335424,0.0433433
1.97239e-05,0.0603015,0.00394947,0.0470321
1.97239e-05,0.0653266,0.0045857,0.050679
1.97239e-05,0.0703518,0.00526129,0.054284
1.97239e-05,0.0753769,0.00597463,0.057847
1.97239e-05,0.080402,0.00672411,0.0613681
1.97239e-05,0.0854271,0.00750816,0.0648474
1.97239e-05,0.0904523,0.00832521,0.0682846
1.97239e-05,0.0954774,0.00917371,0.07168
1.97239e-05,0.100503,0.0100521,0.0750335
1.97239e-05,0.105528,0.010959,0.078345
1.97239e-05,0.110553,0.0118928,0.0816146
1.97239e-05,0.115578,0.0128521,0.0848423
1.97239e-05,0.120603,0.0138354,0.0880281
1.97239e-05,0.125628,0.0148413,0.0911719
1.97239e-05,0.130653,0.0158683,0.0942739
1.97239e-05,0.135678,0.0169152,0.0973339
1.97239e-05,0.140704,0.0179805,0.100352
1.97239e-05,0.145729,0.0190628,0.103328
1.97239e-05,0.150754,0.0201608,0.106262
1.97239e-05,0.155779,0.0212733,0.109155
1.97239e-05,0.160804,0.0223988,0.112005
1.97239e-05,0.165829,0.0235362,0.114814
1.97239e-05,0.170854,0.0246842,0.11758
1.97239e-05,0.175879,0.0258414,0.120305
1.97239e-05,0.180905,0.0270068,0.122988
1.97239e-05,0.18593,0.028179,0.125629
1.97239e-05,0.190955,0.029357,0.128228
1.97239e-05,0.19598,0.0305395,0.130785
1.97239e-05,0.201005,0.0317254,0.1333
1.97239e-05,0.20603,0.0329135,0.135773
1.97239e-05,0.211055,0.0341029,0.138204
1.97239e-05,0.21608,0.0352922,0.140593
1.97239e-05,0.221106,0.0364806,0.142941
1.97239e-05,0.226131,0.0376668,0.145246
1.97239e-05,0.231156,0.03885,0.14751
1.97239e-05,0.236181,0.0400291,0.149732
1.97239e-05,0.241206,0.041203,0.151911
1.97239e-05,0.246231,0.0423709,0.154049
1.97239e-05,0.251256,0.0435317,0.156145
1.97239e-05,0.256281,0.0446845,0.158199
1.97239e-05,0.261307,0.0458283,0.160211
1.97239e-05,0.266332,0.0469624,0.162181
1.97239e-05,0.271357,0.0480857,0.164109
1.97239e-05,0.276382,0.0491975,0.165996
1.97239e-05,0.281407,0.0502969,0.16784
1.97239e-05,0.286432,0.051383,0.169643
1.97239e-05,0.291457,0.052455,0.171403
1.97239e-05,0.296482,0.0535122,0.173122
