r,z,phi_T,phi_L
1.97239e-05,-0.25,-10.4423,-10.3881
1.97239e-05,-0.2475,-10.5453,-10.4906
1.97239e-05,-0.245,-10.6531,-10.5978
1.97239e-05,-0.2425,-10.7659,-10.71
1.97239e-05,-0.24,-10.884,-10.8275
1.97239e-05,-0.2375,-11.0078,-10.9506
1.97239e-05,-0.235,-11.1375,-11.0797
1.97239e-05,-0.2325,-11.2735,-11.215
1.97239e-05,-0.23,-11.4161,-11.3569
1.97239e-05,-0.2275,-11.5658,-11.5058
1.97239e-05,-0.225,-11.723,-11.6621
1.97239e-05,-0.2225,-11.888,-11.8263
1.97239e-05,-0.22,-12.0615,-11.9989
1.97239e-05,-0.2175,-12.244,-12.1804
1.97239e-05,-0.215,-12.4359,-12.3714
1.97239e-05,-0.2125,-12.638,-12.5725
1.97239e-05,-0.21,-12.851,-12.7843
1.97239e-05,-0.2075,-13.0755,-13.0077
1.97239e-05,-0.205,-13.3124,-13.2433
1.97239e-05,-0.2025,-13.5626,-13.4922
1.97239e-05,-0.2,-13.8269,-13.7552
1.97239e-05,-0.1975,-14.1065,-14.0333
1.97239e-05,-0.195,-14.4025,-14.3278
1.97239e-05,-0.1925,-14.7162,-14.6398
1.97239e-05,-0.19,-15.0488,-14.9707
1.97239e-05,-0.1875,-15.402,-15.3221
1.97239e-05,-0.185,-15.7774,-15.6955
1.97239e-05,-0.1825,-16.1769,-16.0929
1.97239e-05,-0.18,-16.6024,-16.5162
1.97239e-05,-0.1775,-17.0563,-16.9678
1.97239e-05,-0.175,-17.541,-17.45
1.97239e-05,-0.1725,-18.0594,-17.9657
1.97239e-05,-0.17,-18.6146,-18.518
1.97239e-05,-0.1675,-19.2101,-19.1104
1.97239e-05,-0.165,-19.8497,-19.7467
1.97239e-05,-0.1625,-20.538,-20.4314
1.97239e-05,-0.16,-21.2798,-21.1693
1.97239e-05,-0.1575,-22.0807,-21.9661
1.97239e-05,-0.155,-22.9472,-22.828
1.97239e-05,-0.1525,-23.8863,-23.7624
1.97239e-05,-0.15,-24.9065,-24.7772
1.97239e-05,-0.1475,-26.017,-25.8819
1.97239e-05,-0.145,-27.2286,-27.0873
1.97239e-05,-0.1425,-28.5539,-28.4057
1.97239e-05,-0.14,-30.0072,-29.8514
1.97239e-05,-0.1375,-31.6051,-31.441
1.97239e-05,-0.135,-33.3671,-33.1939
1.97239e-05,-0.1325,-35.3159,-35.1326
1.97239e-05,-0.13,-37.4782,-37.2836
1.97239e-05,-0.1275,-39.8855,-39.6784
1.97239e-05,-0.125,-42.5752,-42.3542
1.97239e-05,-0.1225,-45.5918,-45.3552
1.97239e-05,-0.12,-48.9888,-48.7346
1.97239e-05,-0.1175,-52.8306,-52.5564
1.97239e-05,-0.115,-57.1951,-56.8983
1.97239e-05,-0.1125,-62.1778,-61.8551
1.97239e-05,-0.11,-67.8957,-67.5433
1.97239e-05,-0.1075,-74.4938,-74.1072
1.97239e-05,-0.105,-82.1528,-81.7264
1.97239e-05,-0.1025,-91.0999,-90.627
1.97239e-05,-0.1,-101.623,-101.096
1.97239e-05,-0.0975,-114.091,-113.499
1.97239e-05,-0.095,-128.981,-128.311
1.97239e-05,-0.0925,-146.913,-146.151
1.97239e-05,-0.09,-168.711,-167.836
1.97239e-05,-0.0875,-195.473,-194.459
1.97239e-05,-0.085,-228.686,-227.499
1.97239e-05,-0.0825,-270.395,-268.991
1.97239e-05,-0.08,-323.449,-321.77
1.97239e-05,-0.0775,-391.891,-389.857
1.97239e-05,-0.075,-481.554,-479.055
1.97239e-05,-0.0725,-601.032,-597.912
1.97239e-05,-0.07,-763.247,-759.286
1.97239e-05,-0.0675,-988.106,-982.977
1.97239e-05,-0.065,-1307.08,-1300.29
1.97239e-05,-0.0625,-1771.36,-1762.16
1.97239e-05,-0.06,-2466.95,-2454.15
1.97239e-05,-0.0575,-3543.59,-3525.2
1.97239e-05,-0.055,-5272.55,-5245.18
1.97239e-05,-0.0525,-8168.06,-8125.66
1.97239e-05,-0.05,-13256.1,-13187.3
1.97239e-05,-0.0475,-22706.6,-22588.7
1.97239e-05,-0.045,-41428.8,-41213.7
1.97239e-05,-0.0425,-81428.9,-81006.2
1.97239e-05,-0.04,-174877,-173969
1.97239e-05,-0.0375,-417798,-415629
1.97239e-05,-0.035,-1.13639e+06,-1.13049e+06
1.97239e-05,-0.0325,-3.62725e+06,-3.60842e+06
1.97239e-05,-0.03,-1.41477e+07,-1.40743e+07
1.97239e-05,-0.0275,-7.12616e+07,-7.08918e+07
1.97239e-05,-0.025,-5.00879e+08,-4.9828e+08
1.97239e-05,-0.0225,-5.49538e+09,-5.46686e+09
1.97239e-05,-0.02,-1.11373e+11,-1.10795e+11
