r2,N_p_DGLAP
1.97239e-05,4.41405e-08
2.05457e-05,4.78582e-08
2.14018e-05,5.18883e-08
2.22936e-05,5.62567e-08
2.32225e-05,6.09919e-08
2.41901e-05,6.61246e-08
2.51981e-05,7.16879e-08
2.6248e-05,7.7718e-08
2.73417e-05,8.42539e-08
2.8481e-05,9.13378e-08
2.96677e-05,9.90154e-08
3.09039e-05,1.07337e-07
3.21916e-05,1.16355e-07
3.35329e-05,1.26128e-07
3.49302e-05,1.3672e-07
3.63856e-05,1.48199e-07
3.79017e-05,1.60638e-07
3.9481e-05,1.74118e-07
4.11261e-05,1.88725e-07
4.28397e-05,2.04554e-07
4.46248e-05,2.21705e-07
4.64842e-05,2.4029e-07
4.84211e-05,2.60427e-07
5.04387e-05,2.82246e-07
5.25403e-05,3.05886e-07
5.47296e-05,3.31499e-07
5.701e-05,3.59249e-07
5.93855e-05,3.89312e-07
6.186e-05,4.21882e-07
6.44375e-05,4.57167e-07
6.71225e-05,4.9539e-07
6.99193e-05,5.36797e-07
7.28327e-05,5.81651e-07
7.58675e-05,6.30237e-07
7.90287e-05,6.82865e-07
8.23216e-05,7.3987e-07
8.57518e-05,8.01612e-07
8.93249e-05,8.68485e-07
9.30468e-05,9.40911e-07
9.69239e-05,1.01935e-06
0.000100962,1.1043e-06
0.000105169,1.1963e-06
0.000109551,1.29592e-06
0.000114116,1.4038e-06
0.000118871,1.52062e-06
0.000123824,1.64711e-06
0.000128984,1.78407e-06
0.000134358,1.93236e-06
0.000139957,2.09292e-06
0.000145788,2.26675e-06
0.000151863,2.45494e-06
0.000158191,2.65867e-06
0.000164782,2.87921e-06
0.000171648,3.11794e-06
0.0001788,3.37637e-06
0.000186251,3.65608e-06
0.000194011,3.95884e-06
0.000202095,4.28652e-06
0.000210516,4.64116e-06
0.000219288,5.02496e-06
0.000228425,5.44031e-06
0.000237943,5.88977e-06
0.000247858,6.37612e-06
0.000258185,6.90238e-06
0.000268943,7.47179e-06
0.00028015,8.08785e-06
0.000291823,8.75437e-06
0.000303982,9.47543e-06
