r²,N_GBW
3.61152e-06,7.18973e-07
1e-08,1.99078e-09
4.41168e-06,8.78266e-07
1.68166e-05,3.3478e-06
3.72246e-05,7.41057e-06
6.56359e-05,1.30666e-05
0.00010205,2.03157e-05
0.000146468,2.91581e-05
0.000198889,3.95936e-05
0.000259313,5.16221e-05
0.00032774,6.52436e-05
0.000404171,8.04581e-05
0.000488605,9.72655e-05
0.000581041,0.000115666
0.000681482,0.000135659
0.000789925,0.000157244
0.000906371,0.000180422
0.00103082,0.000205192
0.00116327,0.000231555
0.00130373,0.00025951
0.00145219,0.000289057
0.00160865,0.000320195
0.00177312,0.000352926
0.00194559,0.000387248
0.00212606,0.000423161
0.00231453,0.000460666
0.00251101,0.000499761
0.00271549,0.000540448
0.00292798,0.000582725
0.00314847,0.000626593
0.00337696,0.000672051
0.00361345,0.000719099
0.00385795,0.000767737
0.00411045,0.000817964
0.00437096,0.000869781
0.00463946,0.000923187
0.00491597,0.000978181
0.00520049,0.00103476
0.005493,0.00109294
0.00579352,0.0011527
0.00610205,0.00121404
0.00641857,0.00127698
0.0067431,0.0013415
0.00707564,0.00140761
0.00741617,0.0014753
0.00776471,0.00154459
0.00812125,0.00161545
0.0084858,0.00168791
0.00885835,0.00176194
0.0092389,0.00183757
0.00962746,0.00191477
0.010024,0.00199357
0.0104286,0.00207394
0.0108411,0.0021559
0.0112617,0.00223944
0.0116903,0.00232457
0.0121269,0.00241127
0.0125714,0.00249956
0.013024,0.00258943
0.0134846,0.00268088
0.0139532,0.00277391
0.0144298,0.00286852
0.0149144,0.00296471
0.015407,0.00306248
0.0159076,0.00316183
0.0164162,0.00326275
0.0169328,0.00336526
0.0174574,0.00346934
0.01799,0.003575
0.0185306,0.00368223
0.0190792,0.00379104
0.0196359,0.00390143
0.0202005,0.00401338
0.0207731,0.00412692
0.0213537,0.00424202
0.0219424,0.0043587
0.022539,0.00447696
0.0231437,0.00459678
0.0237563,0.00471818
0.024377,0.00484114
0.0250056,0.00496568
0.0256423,0.00509179
0.0262869,0.00521946
0.0269396,0.0053487
0.0276002,0.00547951
0.0282689,0.00561189
0.0289456,0.00574584
0.0296303,0.00588135
0.0303229,0.00601842
0.0310236,0.00615706
0.0317323,0.00629727
0.032449,0.00643903
0.0331737,0.00658236
0.0339064,0.00672726
0.0346471,0.00687371
0.0353958,0.00702172
0.0361525,0.0071713
0.0369172,0.00732243
0.0376899,0.00747512
0.0384706,0.00762937
0.0392593,0.00778517
0.040056,0.00794253
0.0408607,0.00810145
0.0416735,0.00826192
0.0424942,0.00842394
0.0433229,0.00858752
0.0441597,0.00875265
0.0450044,0.00891933
0.0458571,0.00908756
0.0467179,0.00925735
0.0475866,0.00942868
0.0484634,0.00960156
0.0493481,0.00977599
0.0502409,0.00995196
0.0511417,0.0101295
0.0520504,0.0103085
0.0529672,0.0104892
0.053892,0.0106713
0.0548247,0.010855
0.0557655,0.0110402
0.0567143,0.011227
0.0576711,0.0114153
0.0586359,0.0116052
0.0596086,0.0117966
0.0605894,0.0119895
0.0615782,0.012184
0.062575,0.01238
0.0635798,0.0125775
0.0645926,0.0127766
0.0656134,0.0129772
0.0666423,0.0131793
0.0676791,0.013383
0.0687239,0.0135882
0.0697767,0.0137949
0.0708375,0.0140031
0.0719064,0.0142129
0.0729832,0.0144242
