r2,N_GBW
3.61152e-06,3.09768e-07
1e-08,8.57721e-10
4.41168e-06,3.78399e-07
1.68166e-05,1.44239e-06
3.72246e-05,3.19283e-06
6.56359e-05,5.62972e-06
0.00010205,8.75304e-06
0.000146468,1.25628e-05
0.000198889,1.7059e-05
0.000259313,2.22416e-05
0.00032774,2.81106e-05
0.000404171,3.4666e-05
0.000488605,4.19077e-05
0.000581041,4.98359e-05
0.000681482,5.84503e-05
0.000789925,6.77511e-05
0.000906371,7.77382e-05
0.00103082,8.84116e-05
0.00116327,9.97713e-05
0.00130373,0.000111817
0.00145219,0.000124549
0.00160865,0.000137967
0.00177312,0.000152072
0.00194559,0.000166862
0.00212606,0.000182339
0.00231453,0.000198502
0.00251101,0.00021535
0.00271549,0.000232885
0.00292798,0.000251106
0.00314847,0.000270012
0.00337696,0.000289605
0.00361345,0.000309883
0.00385795,0.000330847
0.00411045,0.000352497
0.00437096,0.000374832
0.00463946,0.000397853
0.00491597,0.00042156
0.00520049,0.000445952
0.005493,0.00047103
0.00579352,0.000496793
0.00610205,0.000523241
0.00641857,0.000550375
0.0067431,0.000578194
0.00707564,0.000606698
0.00741617,0.000635888
0.00776471,0.000665762
0.00812125,0.000696322
0.0084858,0.000727566
0.00885835,0.000759495
0.0092389,0.000792109
0.00962746,0.000825408
0.010024,0.000859392
0.0104286,0.00089406
0.0108411,0.000929412
0.0112617,0.000965449
0.0116903,0.00100217
0.0121269,0.00103958
0.0125714,0.00107767
0.013024,0.00111644
0.0134846,0.0011559
0.0139532,0.00119604
0.0144298,0.00123687
0.0149144,0.00127838
0.015407,0.00132057
0.0159076,0.00136345
0.0164162,0.00140701
0.0169328,0.00145125
0.0174574,0.00149618
0.01799,0.00154179
0.0185306,0.00158808
0.0190792,0.00163506
0.0196359,0.00168272
0.0202005,0.00173106
0.0207731,0.00178008
0.0213537,0.00182979
0.0219424,0.00188018
0.022539,0.00193125
0.0231437,0.00198301
0.0237563,0.00203544
0.024377,0.00208856
0.0250056,0.00214236
0.0256423,0.00219684
0.0262869,0.00225201
0.0269396,0.00230785
0.0276002,0.00236438
0.0282689,0.00242159
0.0289456,0.00247948
0.0296303,0.00253805
0.0303229,0.0025973
0.0310236,0.00265723
0.0317323,0.00271785
0.032449,0.00277914
0.0331737,0.00284111
0.0339064,0.00290377
0.0346471,0.0029671
0.0353958,0.00303112
0.0361525,0.00309581
0.0369172,0.00316119
0.0376899,0.00322724
0.0384706,0.00329397
0.0392593,0.00336138
0.040056,0.00342948
0.0408607,0.00349825
0.0416735,0.0035677
0.0424942,0.00363782
0.0433229,0.00370863
0.0441597,0.00378012
0.0450044,0.00385228
0.0458571,0.00392512
0.0467179,0.00399864
0.0475866,0.00407284
0.0484634,0.00414771
0.0493481,0.00422327
0.0502409,0.0042995
0.0511417,0.0043764
0.0520504,0.00445399
0.0529672,0.00453225
0.053892,0.00461118
0.0548247,0.0046908
0.0557655,0.00477109
0.0567143,0.00485205
0.0576711,0.0049337
0.0586359,0.00501601
0.0596086,0.00509901
0.0605894,0.00518268
0.0615782,0.00526702
0.062575,0.00535204
0.0635798,0.00543773
0.0645926,0.0055241
0.0656134,0.00561114
0.0666423,0.00569886
0.0676791,0.00578725
0.0687239,0.00587632
0.0697767,0.00596606
0.0708375,0.00605647
0.0719064,0.00614755
0.0729832,0.00623931
0.074068,0.00633175
0.0751609,0.00642485
0.0762617,0.00651863
0.0773705,0.00661308
0.0784874,0.0067082
0.0796122,0.00680399
0.0807451,0.00690046
0.0818859,0.00699759
0.0830348,0.0070954
0.0841917,0.00719388
0.0853565,0.00729303
0.0865294,0.00739285
0.0877103,0.00749334
0.0888992,0.0075945
0.090096,0.00769634
0.0913009,0.00779884
0.0925138,0.00790201
0.0937347,0.00800585
0.0949636,0.00811036
0.0962005,0.00821554
0.0974454,0.00832138
0.0986983,0.0084279
0.0999592,0.00853508
0.101228,0.00864293
0.102505,0.00875145
0.10379,0.00886064
0.105083,0.00897049
0.106384,0.00908101
0.107693,0.0091922
0.10901,0.00930405
0.110335,0.00941658
0.111667,0.00952976
0.113008,0.00964361
0.114357,0.00975813
0.115714,0.00987332
0.117079,0.00998916
0.118452,0.0101057
0.119833,0.0102229
0.121222,0.0103407
0.122619,0.0104592
0.124024,0.0105784
0.125437,0.0106982
0.126858,0.0108187
0.128287,0.0109399
0.129724,0.0110617
0.131169,0.0111842
0.132622,0.0113073
0.134083,0.0114311
0.135552,0.0115556
0.137029,0.0116807
0.138514,0.0118065
0.140007,0.011933
0.141508,0.0120601
0.143017,0.0121879
0.144534,0.0123163
0.146059,0.0124454
0.147592,0.0125752
0.149133,0.0127056
0.150682,0.0128367
0.152239,0.0129684
0.153804,0.0131008
0.155377,0.0132338
0.156958,0.0133675
0.158547,0.0135019
0.160144,0.0136369
0.161749,0.0137726
0.163362,0.0139089
0.164983,0.0140459
0.166612,0.0141836
0.168249,0.0143219
0.169894,0.0144608
0.171547,0.0146005
0.173208,0.0147407
0.174878,0.0148816
0.176555,0.0150232
0.17824,0.0151655
0.179933,0.0153083
0.181634,0.0154519
0.183343,0.0155961
0.18506,0.0157409
0.186785,0.0158864
0.188518,0.0160326
0.190259,0.0161794
0.192008,0.0163268
0.193765,0.0164749
0.195531,0.0166237
0.197304,0.0167731
0.199085,0.0169231
0.200874,0.0170738
0.202671,0.0172252
0.204476,0.0173772
0.206289,0.0175299
0.20811,0.0176832
0.20994,0.0178371
0.211777,0.0179917
0.213622,0.018147
0.215475,0.0183029
0.217336,0.0184594
0.219205,0.0186166
0.221082,0.0187744
0.222968,0.0189329
0.224861,0.019092
0.226762,0.0192518
0.228671,0.0194122
0.230588,0.0195733
0.232513,0.019735
0.234447,0.0198973
0.236388,0.0200603
0.238337,0.0202239
0.240294,0.0203882
0.242259,0.0205531
0.244232,0.0207187
0.246214,0.0208849
0.248203,0.0210518
0.2502,0.0212192
0.252205,0.0213874
0.254218,0.0215561
0.25624,0.0217256
0.258269,0.0218956
0.260306,0.0220663
0.262351,0.0222376
0.264405,0.0224096
0.266466,0.0225822
0.268535,0.0227554
0.270612,0.0229293
0.272697,0.0231038
0.274791,0.023279
0.276892,0.0234548
0.279001,0.0236312
0.281118,0.0238082
0.283244,0.0239859
0.285377,0.0241643
0.287518,0.0243432
0.289667,0.0245228
0.291825,0.0247031
0.29399,0.0248839
0.296163,0.0250654
0.298345,0.0252475
0.300534,0.0254303
0.302731,0.0256137
0.304936,0.0257977
0.30715,0.0259824
0.309371,0.0261677
0.3116,0.0263536
0.313838,0.0265401
0.316083,0.0267273
0.318336,0.0269151
0.320597,0.0271035
0.322867,0.0272926
0.325144,0.0274823
0.327429,0.0276726
0.329723,0.0278636
0.332024,0.0280551
0.334333,0.0282473
0.336651,0.0284402
0.338976,0.0286336
0.341309,0.0288277
0.343651,0.0290224
0.346,0.0292177
0.348357,0.0294136
0.350723,0.0296102
0.353096,0.0298074
0.355477,0.0300052
0.357867,0.0302036
0.360264,0.0304027
0.362669,0.0306024
0.365083,0.0308027
0.367504,0.0310036
0.369934,0.0312051
0.372371,0.0314073
0.374816,0.0316101
0.37727,0.0318135
0.379731,0.0320175
0.3822,0.0322221
0.384678,0.0324274
0.387163,0.0326332
0.389657,0.0328397
0.392158,0.0330468
0.394667,0.0332545
0.397185,0.0334629
0.39971,0.0336718
0.402244,0.0338814
0.404785,0.0340915
0.407335,0.0343023
0.409892,0.0345137
0.412457,0.0347257
0.415031,0.0349384
0.417612,0.0351516
0.420202,0.0353654
0.422799,0.0355799
0.425405,0.035795
0.428018,0.0360106
0.430639,0.0362269
0.433269,0.0364438
0.435906,0.0366613
0.438552,0.0368794
0.441205,0.0370981
0.443867,0.0373175
0.446536,0.0375374
0.449214,0.0377579
0.451899,0.0379791
0.454593,0.0382008
0.457294,0.0384232
0.460004,0.0386461
0.462721,0.0388697
0.465447,0.0390939
0.46818,0.0393186
0.470922,0.039544
0.473671,0.03977
0.476429,0.0399965
0.479194,0.0402237
0.481968,0.0404515
0.484749,0.0406799
0.487539,0.0409088
0.490336,0.0411384
