r2,N_IIM
3.61152e-06,9.76198e-141
1e-08,6.43552e-22
4.41168e-06,3.46456e-12
1.68166e-05,1.90626e-10
3.72246e-05,1.76171e-09
6.56359e-05,8.02285e-09
0.00010205,2.5053e-08
0.000146468,6.19638e-08
0.000198889,1.30902e-07
0.000259313,2.46907e-07
0.00032774,4.27689e-07
0.000404171,6.93373e-07
0.000488605,1.06623e-06
0.000581041,1.57043e-06
0.000681482,2.23175e-06
0.000789925,3.0774e-06
0.000906371,4.13575e-06
0.00103082,5.43617e-06
0.00116327,7.00882e-06
0.00130373,8.88452e-06
0.00145219,1.10946e-05
0.00160865,1.36707e-05
0.00177312,1.66447e-05
0.00194559,2.00488e-05
0.00212606,2.3915e-05
0.00231453,2.82755e-05
0.00251101,3.31622e-05
0.00271549,3.86069e-05
0.00292798,4.46412e-05
0.00314847,5.12965e-05
0.00337696,5.86037e-05
0.00361345,6.65934e-05
0.00385795,7.52959e-05
0.00411045,8.47409e-05
0.00437096,9.4958e-05
0.00463946,0.000105976
0.00491597,0.000117823
0.00520049,0.000130527
0.005493,0.000144116
0.00579352,0.000158616
0.00610205,0.000174054
0.00641857,0.000190456
0.0067431,0.000207846
0.00707564,0.00022625
0.00741617,0.000245692
0.00776471,0.000266195
0.00812125,0.000287782
0.0084858,0.000310476
0.00885835,0.000334299
0.0092389,0.000359272
0.00962746,0.000385416
0.010024,0.000412752
0.0104286,0.000441299
0.0108411,0.000471076
0.0112617,0.000502103
0.0116903,0.000534398
0.0121269,0.000567979
0.0125714,0.000602862
0.013024,0.000639064
0.0134846,0.000676603
0.0139532,0.000715493
0.0144298,0.00075575
0.0149144,0.00079739
0.015407,0.000840426
0.0159076,0.000884872
0.0164162,0.000930742
0.0169328,0.00097805
0.0174574,0.00102681
0.01799,0.00107703
0.0185306,0.00112872
0.0190792,0.0011819
0.0196359,0.00123657
0.0202005,0.00129276
0.0207731,0.00135046
0.0213537,0.00140969
0.0219424,0.00147045
0.022539,0.00153277
0.0231437,0.00159663
0.0237563,0.00166207
0.024377,0.00172907
0.0250056,0.00179765
0.0256423,0.00186783
0.0262869,0.00193959
0.0269396,0.00201296
0.0276002,0.00208794
0.0282689,0.00216453
0.0289456,0.00224274
0.0296303,0.00232259
0.0303229,0.00240406
0.0310236,0.00248717
0.0317323,0.00257192
0.032449,0.00265832
0.0331737,0.00274637
0.0339064,0.00283608
0.0346471,0.00292745
0.0353958,0.00302048
0.0361525,0.00311517
0.0369172,0.00321154
0.0376899,0.00330958
0.0384706,0.0034093
0.0392593,0.0035107
0.040056,0.00361378
0.0408607,0.00371854
0.0416735,0.00382498
0.0424942,0.00393312
0.0433229,0.00404294
0.0441597,0.00415445
0.0450044,0.00426766
0.0458571,0.00438256
0.0467179,0.00449915
0.0475866,0.00461744
0.0484634,0.00473742
0.0493481,0.00485909
0.0502409,0.00498247
0.0511417,0.00510753
0.0520504,0.0052343
0.0529672,0.00536276
0.053892,0.00549291
0.0548247,0.00562476
0.0557655,0.0057583
0.0567143,0.00589354
0.0576711,0.00603047
0.0586359,0.00616909
0.0596086,0.0063094
0.0605894,0.0064514
0.0615782,0.00659509
0.062575,0.00674046
0.0635798,0.00688752
0.0645926,0.00703626
0.0656134,0.00718669
0.0666423,0.00733879
0.0676791,0.00749257
0.0687239,0.00764802
0.0697767,0.00780515
0.0708375,0.00796395
0.0719064,0.00812442
0.0729832,0.00828655
0.074068,0.00845034
0.0751609,0.0086158
0.0762617,0.00878292
0.0773705,0.00895168
0.0784874,0.00912211
0.0796122,0.00929418
0.0807451,0.00946789
0.0818859,0.00964325
0.0830348,0.00982025
0.0841917,0.00999889
0.0853565,0.0101792
0.0865294,0.0103611
0.0877103,0.0105446
0.0888992,0.0107297
0.090096,0.0109165
0.0913009,0.0111049
0.0925138,0.0112949
0.0937347,0.0114865
0.0949636,0.0116797
0.0962005,0.0118745
0.0974454,0.0120709
0.0986983,0.0122689
0.0999592,0.0124685
0.101228,0.0126696
0.102505,0.0128724
0.10379,0.0130767
0.105083,0.0132826
0.106384,0.0134901
0.107693,0.0136991
0.10901,0.0139097
0.110335,0.0141218
0.111667,0.0143355
0.113008,0.0145507
0.114357,0.0147675
0.115714,0.0149858
0.117079,0.0152057
0.118452,0.0154271
0.119833,0.01565
0.121222,0.0158744
0.122619,0.0161003
0.124024,0.0163278
0.125437,0.0165567
0.126858,0.0167871
0.128287,0.0170191
0.129724,0.0172525
0.131169,0.0174874
0.132622,0.0177238
0.134083,0.0179617
0.135552,0.018201
0.137029,0.0184419
0.138514,0.0186841
0.140007,0.0189279
0.141508,0.019173
0.143017,0.0194197
0.144534,0.0196677
0.146059,0.0199172
0.147592,0.0201682
0.149133,0.0204205
0.150682,0.0206743
0.152239,0.0209295
0.153804,0.0211861
0.155377,0.0214441
0.156958,0.0217036
0.158547,0.0219644
0.160144,0.0222266
0.161749,0.0224902
0.163362,0.0227551
0.164983,0.0230215
0.166612,0.0232892
0.168249,0.0235583
0.169894,0.0238287
0.171547,0.0241005
0.173208,0.0243737
0.174878,0.0246482
0.176555,0.024924
0.17824,0.0252012
0.179933,0.0254797
0.181634,0.0257595
0.183343,0.0260406
0.18506,0.0263231
0.186785,0.0266069
0.188518,0.0268919
0.190259,0.0271783
0.192008,0.027466
0.193765,0.0277549
0.195531,0.0280451
0.197304,0.0283366
0.199085,0.0286294
0.200874,0.0289235
0.202671,0.0292188
0.204476,0.0295154
0.206289,0.0298132
0.20811,0.0301122
0.20994,0.0304126
0.211777,0.0307141
0.213622,0.0310169
0.215475,0.0313209
0.217336,0.0316261
0.219205,0.0319325
0.221082,0.0322402
0.222968,0.032549
0.224861,0.0328591
0.226762,0.0331704
0.228671,0.0334828
0.230588,0.0337964
0.232513,0.0341112
0.234447,0.0344272
0.236388,0.0347444
0.238337,0.0350627
0.240294,0.0353822
0.242259,0.0357028
0.244232,0.0360246
0.246214,0.0363475
0.248203,0.0366715
0.2502,0.0369967
0.252205,0.0373231
0.254218,0.0376505
0.25624,0.0379791
0.258269,0.0383088
0.260306,0.0386396
0.262351,0.0389715
0.264405,0.0393045
0.266466,0.0396386
0.268535,0.0399738
0.270612,0.04031
0.272697,0.0406474
0.274791,0.0409858
0.276892,0.0413253
0.279001,0.0416658
0.281118,0.0420074
0.283244,0.0423501
0.285377,0.0426938
0.287518,0.0430386
0.289667,0.0433844
0.291825,0.0437313
0.29399,0.0440791
0.296163,0.044428
0.298345,0.0447779
0.300534,0.0451289
0.302731,0.0454808
0.304936,0.0458338
0.30715,0.0461877
0.309371,0.0465427
0.3116,0.0468986
0.313838,0.0472556
0.316083,0.0476135
0.318336,0.0479724
0.320597,0.0483322
0.322867,0.0486931
0.325144,0.0490549
0.327429,0.0494176
0.329723,0.0497813
0.332024,0.050146
0.334333,0.0505116
0.336651,0.0508782
0.338976,0.0512457
0.341309,0.0516141
0.343651,0.0519834
0.346,0.0523537
0.348357,0.0527249
0.350723,0.053097
0.353096,0.05347
0.355477,0.0538439
0.357867,0.0542187
0.360264,0.0545944
0.362669,0.054971
0.365083,0.0553485
0.367504,0.0557269
0.369934,0.0561061
0.372371,0.0564862
0.374816,0.0568672
0.37727,0.0572491
0.379731,0.0576318
0.3822,0.0580154
0.384678,0.0583998
0.387163,0.0587851
0.389657,0.0591712
0.392158,0.0595581
0.394667,0.0599459
0.397185,0.0603345
0.39971,0.0607239
0.402244,0.0611142
0.404785,0.0615053
0.407335,0.0618972
0.409892,0.0622899
0.412457,0.0626833
0.415031,0.0630776
0.417612,0.0634727
0.420202,0.0638686
0.422799,0.0642653
0.425405,0.0646628
0.428018,0.065061
0.430639,0.06546
0.433269,0.0658598
0.435906,0.0662603
0.438552,0.0666617
0.441205,0.0670637
0.443867,0.0674666
0.446536,0.0678701
0.449214,0.0682744
0.451899,0.0686795
0.454593,0.0690853
0.457294,0.0694919
0.460004,0.0698991
0.462721,0.0703071
0.465447,0.0707158
0.46818,0.0711253
0.470922,0.0715354
0.473671,0.0719463
0.476429,0.0723579
0.479194,0.0727701
0.481968,0.0731831
0.484749,0.0735968
0.487539,0.0740111
0.490336,0.0744262
0.493142,0.0748419
0.495955,0.0752583
0.498777,0.0756754
0.501606,0.0760932
0.504444,0.0765116
0.507289,0.0769307
0.510143,0.0773504
0.513004,0.0777709
0.515874,0.0781919
0.518751,0.0786136
0.521637,0.079036
0.524531,0.079459
0.527432,0.0798826
0.530342,0.0803069
0.533259,0.0807318
0.536185,0.0811574
0.539118,0.0815835
0.54206,0.0820103
0.54501,0.0824377
0.547967,0.0828658
0.550933,0.0832944
0.553906,0.0837236
0.556888,0.0841535
0.559878,0.0845839
0.562875,0.0850149
0.565881,0.0854465
0.568894,0.0858788
0.571916,0.0863116
0.574946,0.0867449
0.577983,0.0871789
0.581029,0.0876135
0.584082,0.0880486
0.587144,0.0884842
0.590214,0.0889205
0.593291,0.0893573
0.596377,0.0897947
0.599471,0.0902326
0.602572,0.090671
0.605682,0.0911101
0.608799,0.0915496
0.611925,0.0919897
0.615059,0.0924304
0.6182,0.0928716
0.62135,0.0933133
0.624508,0.0937555
0.627673,0.0941983
0.630847,0.0946416
0.634029,0.0950854
0.637218,0.0955297
0.640416,0.0959745
0.643622,0.0964199
0.646835,0.0968657
0.650057,0.0973121
0.653287,0.0977589
0.656525,0.0982063
0.65977,0.0986541
0.663024,0.0991025
0.666286,0.0995513
0.669555,0.100001
0.672833,0.10045
0.676119,0.100901
0.679413,0.101351
0.682714,0.101803
0.686024,0.102254
0.689342,0.102706
0.692667,0.103159
0.696001,0.103612
0.699343,0.104066
0.702693,0.10452
0.70605,0.104974
0.709416,0.105429
0.71279,0.105884
0.716172,0.10634
0.719561,0.106796
0.722959,0.107253
0.726365,0.10771
0.729779,0.108168
0.7332,0.108625
0.73663,0.109084
0.740068,0.109543
0.743514,0.110002
0.746968,0.110461
0.750429,0.110921
0.753899,0.111382
0.757377,0.111843
0.760863,0.112304
0.764356,0.112766
0.767858,0.113228
0.771368,0.11369
0.774886,0.114153
0.778412,0.114616
0.781946,0.11508
0.785487,0.115544
0.789037,0.116008
0.792595,0.116473
0.796161,0.116938
0.799735,0.117404
0.803316,0.11787
0.806906,0.118336
0.810504,0.118803
0.81411,0.11927
0.817724,0.119737
0.821346,0.120205
0.824976,0.120673
0.828613,0.121141
0.832259,0.12161
0.835913,0.122079
0.839575,0.122549
0.843245,0.123019
0.846923,0.123489
0.850609,0.123959
0.854302,0.12443
0.858004,0.124901
0.861714,0.125373
0.865432,0.125845
0.869158,0.126317
0.872892,0.126789
0.876634,0.127262
0.880384,0.127735
0.884142,0.128209
0.887907,0.128682
0.891681,0.129157
0.895463,0.129631
0.899253,0.130106
0.903051,0.130581
0.906857,0.131056
0.910671,0.131532
0.914493,0.132007
0.918323,0.132484
0.922161,0.13296
0.926007,0.133437
0.929861,0.133914
0.933723,0.134391
0.937593,0.134869
0.941471,0.135347
0.945356,0.135825
0.94925,0.136303
0.953152,0.136782
0.957062,0.137261
0.96098,0.137741
0.964906,0.13822
0.96884,0.1387
0.972782,0.13918
0.976732,0.13966
0.98069,0.140141
0.984656,0.140622
0.98863,0.141103
0.992612,0.141584
0.996602,0.142066
1.0006,0.142548
1.00461,0.14303
1.00862,0.143512
1.01264,0.143995
1.01667,0.144478
1.02071,0.144961
1.02476,0.145444
1.02881,0.145927
1.03287,0.146411
1.03694,0.146895
1.04102,0.147379
1.04511,0.147864
1.0492,0.148349
1.0533,0.148833
1.05741,0.149319
1.06153,0.149804
1.06566,0.150289
1.06979,0.150775
1.07393,0.151261
1.07808,0.151747
1.08224,0.152234
