r,N_cgc
1e-08,1.7007e-06
1.02804e-08,1.7484e-06
1.05688e-08,1.79743e-06
1.08652e-08,1.84784e-06
1.11699e-08,1.89966e-06
1.14831e-08,1.95294e-06
1.18052e-08,2.00771e-06
1.21362e-08,2.06401e-06
1.24766e-08,2.1219e-06
1.28265e-08,2.1814e-06
1.31862e-08,2.24258e-06
1.3556e-08,2.30547e-06
1.39362e-08,2.37013e-06
1.4327e-08,2.4366e-06
1.47288e-08,2.50493e-06
1.51419e-08,2.57518e-06
1.55665e-08,2.6474e-06
1.60031e-08,2.72165e-06
1.64519e-08,2.79798e-06
1.69133e-08,2.87645e-06
1.73876e-08,2.95712e-06
1.78753e-08,3.04005e-06
1.83766e-08,3.1253e-06
1.88919e-08,3.21295e-06
1.94217e-08,3.30306e-06
1.99664e-08,3.39569e-06
2.05264e-08,3.49092e-06
2.1102e-08,3.58883e-06
2.16938e-08,3.68947e-06
2.23022e-08,3.79294e-06
2.29277e-08,3.89932e-06
2.35707e-08,4.00867e-06
2.42317e-08,4.12109e-06
2.49113e-08,4.23667e-06
2.56099e-08,4.35548e-06
2.63282e-08,4.47763e-06
2.70665e-08,4.60321e-06
2.78256e-08,4.7323e-06
2.8606e-08,4.86502e-06
2.94082e-08,5.00146e-06
3.02329e-08,5.14172e-06
3.10808e-08,5.28592e-06
3.19525e-08,5.43416e-06
3.28486e-08,5.58656e-06
3.37698e-08,5.74324e-06
3.47169e-08,5.9043e-06
3.56905e-08,6.06989e-06
3.66914e-08,6.24012e-06
3.77204e-08,6.41512e-06
3.87783e-08,6.59503e-06
3.98658e-08,6.77998e-06
4.09838e-08,6.97013e-06
4.21332e-08,7.1656e-06
4.33148e-08,7.36656e-06
4.45296e-08,7.57315e-06
4.57784e-08,7.78554e-06
4.70622e-08,8.00388e-06
4.83821e-08,8.22835e-06
4.9739e-08,8.45911e-06
5.11339e-08,8.69635e-06
5.25679e-08,8.94023e-06
5.40422e-08,9.19096e-06
5.55578e-08,9.44872e-06
5.71159e-08,9.7137e-06
5.87177e-08,9.98612e-06
6.03644e-08,1.02662e-05
6.20573e-08,1.05541e-05
6.37977e-08,1.08501e-05
6.55869e-08,1.11544e-05
6.74262e-08,1.14672e-05
6.93172e-08,1.17888e-05
7.12612e-08,1.21194e-05
7.32597e-08,1.24593e-05
7.53142e-08,1.28087e-05
7.74264e-08,1.31679e-05
7.95978e-08,1.35372e-05
8.18301e-08,1.39169e-05
8.4125e-08,1.43071e-05
8.64842e-08,1.47084e-05
8.89097e-08,1.51209e-05
9.14031e-08,1.55449e-05
9.39665e-08,1.59809e-05
9.66017e-08,1.64291e-05
9.93109e-08,1.68898e-05
1.02096e-07,1.73635e-05
1.04959e-07,1.78504e-05
1.07903e-07,1.83511e-05
1.10929e-07,1.88657e-05
1.1404e-07,1.93948e-05
1.17238e-07,1.99387e-05
1.20526e-07,2.04979e-05
1.23906e-07,2.10727e-05
1.27381e-07,2.16637e-05
1.30954e-07,2.22713e-05
1.34626e-07,2.28959e-05
1.38402e-07,2.3538e-05
1.42283e-07,2.41981e-05
1.46273e-07,2.48767e-05
1.50376e-07,2.55744e-05
1.54593e-07,2.62916e-05
1.58928e-07,2.7029e-05
1.63385e-07,2.7787e-05
1.67967e-07,2.85663e-05
1.72678e-07,2.93674e-05
1.77521e-07,3.0191e-05
1.82499e-07,3.10377e-05
1.87617e-07,3.19081e-05
1.92879e-07,3.2803e-05
1.98288e-07,3.37229e-05
2.03849e-07,3.46687e-05
2.09566e-07,3.5641e-05
2.15443e-07,3.66405e-05
2.21486e-07,3.76681e-05
2.27697e-07,3.87245e-05
2.34083e-07,3.98105e-05
2.40648e-07,4.09269e-05
