r,N_gbw
1e-08,3.41513e-09
1.02804e-08,3.5109e-09
1.05688e-08,3.60937e-09
1.08652e-08,3.71059e-09
1.11699e-08,3.81465e-09
1.14831e-08,3.92163e-09
1.18052e-08,4.03162e-09
1.21362e-08,4.14468e-09
1.24766e-08,4.26092e-09
1.28265e-08,4.38041e-09
1.31862e-08,4.50326e-09
1.3556e-08,4.62955e-09
1.39362e-08,4.75939e-09
1.4327e-08,4.89286e-09
1.47288e-08,5.03008e-09
1.51419e-08,5.17115e-09
1.55665e-08,5.31617e-09
1.60031e-08,5.46526e-09
1.64519e-08,5.61854e-09
1.69133e-08,5.77611e-09
1.73876e-08,5.9381e-09
1.78753e-08,6.10463e-09
1.83766e-08,6.27583e-09
1.88919e-08,6.45184e-09
1.94217e-08,6.63278e-09
1.99664e-08,6.81879e-09
2.05264e-08,7.01002e-09
2.1102e-08,7.20662e-09
2.16938e-08,7.40872e-09
2.23022e-08,7.6165e-09
2.29277e-08,7.8301e-09
2.35707e-08,8.04969e-09
2.42317e-08,8.27545e-09
2.49113e-08,8.50753e-09
2.56099e-08,8.74612e-09
2.63282e-08,8.9914e-09
2.70665e-08,9.24356e-09
2.78256e-08,9.5028e-09
2.8606e-08,9.7693e-09
2.94082e-08,1.00433e-08
3.02329e-08,1.03249e-08
3.10808e-08,1.06145e-08
3.19525e-08,1.09122e-08
3.28486e-08,1.12182e-08
3.37698e-08,1.15328e-08
3.47169e-08,1.18563e-08
3.56905e-08,1.21888e-08
3.66914e-08,1.25306e-08
3.77204e-08,1.2882e-08
3.87783e-08,1.32433e-08
3.98658e-08,1.36147e-08
4.09838e-08,1.39965e-08
4.21332e-08,1.4389e-08
4.33148e-08,1.47926e-08
4.45296e-08,1.52074e-08
4.57784e-08,1.56339e-08
4.70622e-08,1.60724e-08
4.83821e-08,1.65231e-08
4.9739e-08,1.69865e-08
5.11339e-08,1.74629e-08
5.25679e-08,1.79526e-08
5.40422e-08,1.84561e-08
5.55578e-08,1.89737e-08
5.71159e-08,1.95058e-08
5.87177e-08,2.00528e-08
6.03644e-08,2.06152e-08
6.20573e-08,2.11934e-08
6.37977e-08,2.17877e-08
6.55869e-08,2.23988e-08
6.74262e-08,2.30269e-08
6.93172e-08,2.36727e-08
7.12612e-08,2.43366e-08
7.32597e-08,2.50191e-08
7.53142e-08,2.57208e-08
7.74264e-08,2.64421e-08
7.95978e-08,2.71837e-08
8.18301e-08,2.7946e-08
8.4125e-08,2.87298e-08
8.64842e-08,2.95355e-08
8.89097e-08,3.03638e-08
9.14031e-08,3.12153e-08
9.39665e-08,3.20908e-08
9.66017e-08,3.29907e-08
9.93109e-08,3.3916e-08
1.02096e-07,3.48671e-08
1.04959e-07,3.5845e-08
1.07903e-07,3.68502e-08
1.10929e-07,3.78837e-08
1.1404e-07,3.89461e-08
1.17238e-07,4.00383e-08
1.20526e-07,4.11612e-08
1.23906e-07,4.23156e-08
1.27381e-07,4.35023e-08
1.30954e-07,4.47223e-08
1.34626e-07,4.59765e-08
1.38402e-07,4.72659e-08
1.42283e-07,4.85915e-08
1.46273e-07,4.99542e-08
1.50376e-07,5.13552e-08
1.54593e-07,5.27954e-08
1.58928e-07,5.4276e-08
1.63385e-07,5.57982e-08
1.67967e-07,5.7363e-08
1.72678e-07,5.89718e-08
1.77521e-07,6.06256e-08
1.82499e-07,6.23259e-08
1.87617e-07,6.40738e-08
1.92879e-07,6.58707e-08
1.98288e-07,6.7718e-08
2.03849e-07,6.96172e-08
2.09566e-07,7.15696e-08
2.15443e-07,7.35767e-08
2.21486e-07,7.56401e-08
2.27697e-07,7.77615e-08
2.34083e-07,7.99423e-08
2.40648e-07,8.21842e-08
2.47396e-07,8.4489e-08
2.54335e-07,8.68585e-08
2.61467e-07,8.92944e-08
2.688e-07,9.17987e-08
2.76339e-07,9.43731e-08
2.84088e-07,9.70198e-08
2.92056e-07,9.97407e-08
3.00246e-07,1.02538e-07
3.08666e-07,1.05414e-07
3.17323e-07,1.0837e-07
3.26222e-07,1.11409e-07
3.35371e-07,1.14533e-07
3.44776e-07,1.17746e-07
3.54446e-07,1.21048e-07
3.64386e-07,1.24442e-07
3.74605e-07,1.27932e-07
3.85111e-07,1.3152e-07
3.95911e-07,1.35209e-07
4.07014e-07,1.39001e-07
4.18429e-07,1.42899e-07
4.30164e-07,1.46906e-07
4.42227e-07,1.51026e-07
4.5463e-07,1.55262e-07
4.6738e-07,1.59616e-07
4.80487e-07,1.64092e-07
4.93962e-07,1.68694e-07
5.07815e-07,1.73425e-07
5.22057e-07,1.78289e-07
5.36698e-07,1.83289e-07
5.51749e-07,1.88429e-07
5.67223e-07,1.93714e-07
5.83131e-07,1.99147e-07
5.99484e-07,2.04732e-07
6.16297e-07,2.10473e-07
6.3358e-07,2.16376e-07
6.51349e-07,2.22444e-07
6.69616e-07,2.28682e-07
6.88395e-07,2.35096e-07
7.07701e-07,2.41689e-07
7.27548e-07,2.48467e-07
7.47952e-07,2.55435e-07
7.68928e-07,2.62599e-07
7.90493e-07,2.69963e-07
8.12662e-07,2.77534e-07
8.35453e-07,2.85318e-07
8.58883e-07,2.93319e-07
8.8297e-07,3.01546e-07
9.07733e-07,3.10002e-07
9.3319e-07,3.18696e-07
9.59361e-07,3.27634e-07
9.86266e-07,3.36822e-07
