r,x,sigma
0.0001,1e-06,1.111903435e-06
0.0001,1.080331519e-06,1.073964422e-06
0.0001,1.167116191e-06,1.037204668e-06
0.0001,1.260872408e-06,1.001590748e-06
0.0001,1.362160204e-06,9.670900973e-07
0.0001,1.471584602e-06,9.336709961e-07
0.0001,1.589799228e-06,9.013025488e-07
0.0001,1.717510215e-06,8.699546707e-07
0.0001,1.85548042e-06,8.395980624e-07
0.0001,2.004533981e-06,8.102041864e-07
0.0001,2.165561241e-06,7.817452634e-07
0.0001,2.339524065e-06,7.541942367e-07
0.0001,2.527461587e-06,7.2752477e-07
0.0001,2.730496415e-06,7.017112206e-07
0.0001,2.94984134e-06,6.767286282e-07
0.0001,3.186806576e-06,6.525526891e-07
0.0001,3.44280759e-06,6.291597544e-07
0.0001,3.719373553e-06,6.065267999e-07
0.0001,4.018156481e-06,5.846314187e-07
0.0001,4.340941095e-06,5.634518102e-07
0.0001,4.689655487e-06,5.429667558e-07
0.0001,5.066382636e-06,5.231556104e-07
0.0001,5.47337285e-06,5.039982783e-07
0.0001,5.913057205e-06,4.854752204e-07
0.0001,6.388062073e-06,4.675674228e-07
0.0001,6.901224803e-06,4.50256389e-07
0.0001,7.455610675e-06,4.335241261e-07
0.0001,8.054531206e-06,4.173531305e-07
0.0001,8.701563933e-06,4.017263885e-07
0.0001,9.400573782e-06,3.866273436e-07
0.0001,1.015573615e-05,3.720399007e-07
0.0001,1.097156187e-05,3.579484108e-07
0.0001,1.18529241e-05,3.443376507e-07
0.0001,1.28050875e-05,3.311928295e-07
0.0001,1.383373963e-05,3.184995641e-07
0.0001,1.494502495e-05,3.06243871e-07
0.0001,1.61455815e-05,2.944121615e-07
0.0001,1.744258059e-05,2.829912257e-07
0.0001,1.884376959e-05,2.719682274e-07
0.0001,2.035751822e-05,2.613306909e-07
0.0001,2.199286859e-05,2.510664944e-07
0.0001,2.375958913e-05,2.411638594e-07
0.0001,2.566823302e-05,2.316113451e-07
0.0001,2.773020117e-05,2.223978345e-07
0.0001,2.995781035e-05,2.135125274e-07
0.0001,3.236436676e-05,2.049449368e-07
0.0001,3.496424551e-05,1.96684875e-07
0.0001,3.777297646e-05,1.887224465e-07
0.0001,4.080733704e-05,1.810480491e-07
0.0001,4.408545242e-05,1.736523529e-07
0.0001,4.762690378e-05,1.66526302e-07
0.0001,5.145284531e-05,1.596611004e-07
0.0001,5.558613053e-05,1.530482191e-07
0.0001,6.005144884e-05,1.466793704e-07
0.0001,6.487547295e-05,1.40546514e-07
0.0001,7.008701824e-05,1.346418469e-07
0.0001,7.571721488e-05,1.289577979e-07
0.0001,8.179969378e-05,1.234870187e-07
0.0001,8.837078744e-05,1.182223828e-07
0.0001,9.546974703e-05,1.131569754e-07
0.0001,0.0001031389768,1.082840893e-07
0.0001,0.0001114242875,1.035972174e-07
0.0001,0.0001203751698,9.909005018e-08
0.0001,0.0001300450901,9.475647e-08
0.0001,0.0001404918097,9.059054567e-08
0.0001,0.0001517777302,8.658652247e-08
0.0001,0.0001639702658,8.273882959e-08
0.0001,0.0001771422463,7.904205584e-08
0.0001,0.0001913723521,7.549096467e-08
0.0001,0.0002067455838,7.208047941e-08
0.0001,0.0002233537706,6.880568077e-08
0.0001,0.0002412961183,6.566180083e-08
0.0001,0.0002606798021,6.264422158e-08
0.0001,0.0002816206065,5.974846858e-08
0.0001,0.0003042436177,5.697021112e-08
0.0001,0.0003286839697,5.430524825e-08
0.0001,0.0003550876522,5.174951821e-08
0.0001,0.0003836123827,4.929908658e-08
0.0001,0.0004144285482,4.695014135e-08
0.0001,0.000447720223,4.46989962e-08
0.0001,0.0004836862686,4.254207942e-08
0.0001,0.0005225415214,4.047593673e-08
0.0001,0.0005645180756,3.849722388e-08
0.0001,0.0006098666701,3.660270643e-08
0.0001,0.0006588581862,3.478925675e-08
0.0001,0.0007117852651,3.305384425e-08
0.0001,0.0007689640567,3.13935411e-08
0.0001,0.0008307361075,2.980551506e-08
0.0001,0.000897470401,2.828702781e-08
0.0001,0.0009695655616,2.683543231e-08
0.0001,0.001047452236,2.544816778e-08
0.0001,0.001131595665,2.412276112e-08
0.0001,0.001222498464,2.285682411e-08
0.0001,0.001320703623,2.164804156e-08
0.0001,0.001426797751,2.04941842e-08
0.0001,0.001541414582,1.939309413e-08
0.0001,0.001665238757,1.834268726e-08
0.0001,0.001799009916,1.734095785e-08
0.0001,0.001943527115,1.638595473e-08
0.0001,0.0020996536,1.547581e-08
0.0001,0.002268321964,1.460870753e-08
0.0001,0.002450539713,1.378290528e-08
0.0001,0.00264739529,1.299671398e-08
0.0001,0.002860064576,1.224850952e-08
