r,N_ipsat
1.97239e-05,1.69414e-10
0.000414276,1.13554e-07
0.000808828,4.79368e-07
0.00120338,1.12959e-06
0.00159793,2.08449e-06
0.00199249,3.36772e-06
0.00238704,4.99387e-06
0.00278159,6.97311e-06
0.00317614,9.31624e-06
0.00357069,1.20329e-05
0.00396525,1.5132e-05
0.0043598,1.86216e-05
0.00475435,2.2509e-05
0.0051489,2.68014e-05
0.00554346,3.15053e-05
0.00593801,3.66268e-05
0.00633256,4.21718e-05
0.00672711,4.81457e-05
0.00712166,5.45539e-05
0.00751622,6.14014e-05
0.00791077,6.86929e-05
0.00830532,7.6433e-05
0.00869987,8.46262e-05
0.00909443,9.32767e-05
0.00948898,0.000102389
0.00988353,0.000111966
0.0102781,0.000122012
0.0106726,0.000132532
0.0110672,0.000143527
0.0114617,0.000155003
0.0118563,0.000166961
0.0122508,0.000179407
0.0126454,0.000192341
0.0130399,0.000205769
0.0134345,0.000219692
0.0138291,0.000234113
0.0142236,0.000249036
0.0146182,0.000264463
0.0150127,0.000280397
0.0154073,0.00029684
0.0158018,0.000313795
0.0161964,0.000331264
0.0165909,0.000349251
0.0169855,0.000367756
0.01738,0.000386783
0.0177746,0.000406334
0.0181691,0.000426411
0.0185637,0.000447016
0.0189582,0.000468151
0.0193528,0.000489818
0.0197473,0.00051202
0.0201419,0.000534759
0.0205364,0.000558035
0.020931,0.000581852
0.0213255,0.00060621
0.0217201,0.000631113
0.0221147,0.000656561
0.0225092,0.000682556
0.0229038,0.000709101
0.0232983,0.000736196
0.0236929,0.000763844
0.0240874,0.000792046
0.024482,0.000820803
0.0248765,0.000850117
0.0252711,0.00087999
0.0256656,0.000910423
0.0260602,0.000941418
0.0264547,0.000972975
0.0268493,0.0010051
0.0272438,0.00103779
0.0276384,0.00107104
0.0280329,0.00110486
0.0284275,0.00113926
0.028822,0.00117422
0.0292166,0.00120976
0.0296111,0.00124587
0.0300057,0.00128255
0.0304002,0.00131981
0.0307948,0.00135765
0.0311894,0.00139606
0.0315839,0.00143506
0.0319785,0.00147463
0.032373,0.00151479
0.0327676,0.00155553
0.0331621,0.00159685
0.0335567,0.00163876
0.0339512,0.00168125
0.0343458,0.00172433
0.0347403,0.00176799
0.0351349,0.00181224
0.0355294,0.00185709
0.035924,0.00190252
0.0363185,0.00194854
0.0367131,0.00199516
0.0371076,0.00204237
0.0375022,0.00209017
0.0378967,0.00213857
0.0382913,0.00218756
0.0386858,0.00223714
0.0390804,0.00228733
0.039475,0.00233811
0.0398695,0.00238949
0.0402641,0.00244146
0.0406586,0.00249404
0.0410532,0.00254722
0.0414477,0.00260099
0.0418423,0.00265537
0.0422368,0.00271035
0.0426314,0.00276594
0.0430259,0.00282213
0.0434205,0.00287892
0.043815,0.00293631
0.0442096,0.00299431
0.0446041,0.00305292
0.0449987,0.00311213
0.0453932,0.00317195
0.0457878,0.00323237
0.0461823,0.0032934
0.0465769,0.00335505
0.0469714,0.0034173
0.047366,0.00348015
0.0477606,0.00354362
0.0481551,0.0036077
0.0485497,0.00367239
0.0489442,0.00373769
0.0493388,0.0038036
0.0497333,0.00387012
0.0501279,0.00393725
0.0505224,0.004005
0.050917,0.00407336
0.0513115,0.00414233
0.0517061,0.00421191
0.0521006,0.00428211
0.0524952,0.00435292
0.0528897,0.00442435
0.0532843,0.00449639
0.0536788,0.00456904
0.0540734,0.00464232
0.0544679,0.0047162
0.0548625,0.0047907
0.055257,0.00486582
0.0556516,0.00494155
0.0560461,0.0050179
0.0564407,0.00509487
0.0568353,0.00517245
0.0572298,0.00525065
0.0576244,0.00532947
0.0580189,0.0054089
0.0584135,0.00548896
0.058808,0.00556963
0.0592026,0.00565093
0.0595971,0.00573285
0.0599917,0.00581538
0.0603862,0.00589853
0.0607808,0.00598229
0.0611753,0.00606665
0.0615699,0.00615162
0.0619644,0.00623726
0.062359,0.00632352
0.0627535,0.00641037
0.0631481,0.00649779
0.0635426,0.00658578
0.0639372,0.00667433
0.0643317,0.00676342
0.0647263,0.00685372
0.0651209,0.00694458
0.0655154,0.00703592
0.06591,0.00712781
0.0663045,0.00722025
0.0666991,0.00731327
0.0670936,0.00740686
0.0674882,0.00750105
0.0678827,0.00759583
0.0682773,0.00769126
0.0686718,0.0077874
0.0690664,0.00788417
0.0694609,0.00798155
0.0698555,0.00807956
0.07025,0.00817818
0.0706446,0.00827742
0.0710391,0.00837729
0.0714337,0.00847777
0.0718282,0.00857887
0.0722228,0.00868059
0.0726173,0.00878293
0.0730119,0.00888589
0.0734064,0.00898947
0.073801,0.00909366
0.0741956,0.00919848
0.0745901,0.00930391
0.0749847,0.00940997
0.0753792,0.00951664
0.0757738,0.00962393
0.0761683,0.00973183
0.0765629,0.00984036
0.0769574,0.0099495
0.077352,0.0100593
0.0777465,0.0101696
0.0781411,0.0102806
0.0785356,0.0103922
0.0789302,0.0105045
0.0793247,0.0106173
0.0797193,0.0107308
0.0801138,0.0108449
0.0805084,0.0109596
0.0809029,0.0110749
0.0812975,0.0111908
0.081692,0.0113073
0.0820866,0.0114245
0.0824812,0.0115423
0.0828757,0.0116606
0.0832703,0.0117796
0.0836648,0.0118993
0.0840594,0.0120195
0.0844539,0.0121403
0.0848485,0.0122618
0.085243,0.0123838
0.0856376,0.0125065
0.0860321,0.0126298
0.0864267,0.0127537
0.0868212,0.0128782
0.0872158,0.0130034
0.0876103,0.0131291
0.0880049,0.0132554
0.0883994,0.0133824
0.088794,0.01351
0.0891885,0.0136382
0.0895831,0.0137669
0.0899776,0.0138963
0.0903722,0.0140264
0.0907667,0.014157
0.0911613,0.0142882
0.0915559,0.01442
0.0919504,0.0145525
0.092345,0.0146855
0.0927395,0.0148192
0.0931341,0.0149534
0.0935286,0.0150883
0.0939232,0.0152238
0.0943177,0.0153598
0.0947123,0.0154965
0.0951068,0.0156338
0.0955014,0.0157717
0.0958959,0.0159102
0.0962905,0.0160493
0.096685,0.016189
0.0970796,0.0163293
0.0974741,0.0164702
0.0978687,0.0166117
0.0982632,0.0167538
0.0986578,0.0168965
0.0990523,0.0170399
0.0994469,0.0171838
0.0998415,0.0173283
0.100236,0.0174734
0.100631,0.0176191
0.101025,0.0177654
0.10142,0.0179123
0.101814,0.0180598
0.102209,0.0182079
0.102603,0.0183566
0.102998,0.0185059
0.103392,0.0186558
0.103787,0.0188063
0.104182,0.0189574
0.104576,0.0191091
0.104971,0.0192613
0.105365,0.0194142
0.10576,0.0195676
0.106154,0.0197217
0.106549,0.0198763
0.106943,0.0200316
0.107338,0.0201874
0.107732,0.0203438
0.108127,0.0205008
0.108522,0.0206584
0.108916,0.0208166
0.109311,0.0209753
0.109705,0.0211347
0.1101,0.0212946
0.110494,0.0214552
0.110889,0.0216163
0.111283,0.021778
0.111678,0.0219403
0.112073,0.0221032
0.112467,0.0222666
0.112862,0.0224307
0.113256,0.0225953
0.113651,0.0227605
0.114045,0.0229263
0.11444,0.0230927
0.114834,0.0232596
0.115229,0.0234272
0.115624,0.0235953
0.116018,0.023764
0.116413,0.0239333
0.116807,0.0241031
0.117202,0.0242736
0.117596,0.0244446
0.117991,0.0246162
0.118385,0.0247883
0.11878,0.0249611
0.119175,0.0251344
0.119569,0.0253083
0.119964,0.0254828
0.120358,0.0256578
0.120753,0.0258334
0.121147,0.0260096
0.121542,0.0261864
0.121936,0.0263637
0.122331,0.0265416
0.122725,0.0267201
0.12312,0.0268991
0.123515,0.0270787
0.123909,0.0272589
0.124304,0.0274397
0.124698,0.027621
0.125093,0.0278029
0.125487,0.0279853
0.125882,0.0281683
0.126276,0.0283519
0.126671,0.0285361
0.127066,0.0287208
0.12746,0.0289061
0.127855,0.0290919
0.128249,0.0292783
0.128644,0.0294653
0.129038,0.0296528
0.129433,0.0298409
0.129827,0.0300295
0.130222,0.0302187
0.130617,0.0304085
0.131011,0.0305988
0.131406,0.0307897
0.1318,0.0309811
0.132195,0.0311731
0.132589,0.0313657
0.132984,0.0315588
0.133378,0.0317524
0.133773,0.0319466
0.134168,0.0321414
0.134562,0.0323367
0.134957,0.0325326
0.135351,0.032729
0.135746,0.032926
0.13614,0.0331235
0.136535,0.0333216
0.136929,0.0335202
0.137324,0.0337194
0.137718,0.0339191
0.138113,0.0341194
0.138508,0.0343202
0.138902,0.0345216
0.139297,0.0347235
0.139691,0.0349259
0.140086,0.0351289
0.14048,0.0353325
0.140875,0.0355366
0.141269,0.0357412
0.141664,0.0359464
0.142059,0.0361521
0.142453,0.0363583
0.142848,0.0365651
0.143242,0.0367724
0.143637,0.0369803
0.144031,0.0371887
0.144426,0.0373977
0.14482,0.0376072
0.145215,0.0378172
0.14561,0.0380277
0.146004,0.0382388
0.146399,0.0384504
0.146793,0.0386626
0.147188,0.0388753
0.147582,0.0390885
0.147977,0.0393023
0.148371,0.0395166
0.148766,0.0397314
0.14916,0.0399467
0.149555,0.0401626
0.14995,0.040379
0.150344,0.040596
0.150739,0.0408134
0.151133,0.0410314
0.151528,0.0412499
0.151922,0.041469
0.152317,0.0416886
0.152711,0.0419086
0.153106,0.0421293
0.153501,0.0423504
0.153895,0.0425721
0.15429,0.0427943
0.154684,0.043017
0.155079,0.0432402
0.155473,0.0434639
0.155868,0.0436882
0.156262,0.043913
0.156657,0.0441383
0.157052,0.0443641
0.157446,0.0445904
0.157841,0.0448173
0.158235,0.0450447
0.15863,0.0452726
0.159024,0.045501
0.159419,0.0457299
0.159813,0.0459593
0.160208,0.0461892
0.160603,0.0464197
0.160997,0.0466506
0.161392,0.0468821
0.161786,0.0471141
0.162181,0.0473466
0.162575,0.0475796
0.16297,0.0478131
0.163364,0.0480471
0.163759,0.0482816
0.164153,0.0485167
0.164548,0.0487522
0.164943,0.0489882
0.165337,0.0492248
0.165732,0.0494618
0.166126,0.0496994
0.166521,0.0499374
0.166915,0.050176
0.16731,0.050415
0.167704,0.0506546
0.168099,0.0508947
0.168494,0.0511352
0.168888,0.0513763
0.169283,0.0516178
0.169677,0.0518599
0.170072,0.0521024
0.170466,0.0523454
0.170861,0.052589
0.171255,0.052833
0.17165,0.0530775
0.172045,0.0533225
0.172439,0.0535681
0.172834,0.0538141
0.173228,0.0540605
0.173623,0.0543075
0.174017,0.054555
0.174412,0.054803
0.174806,0.0550514
0.175201,0.0553004
0.175595,0.0555498
0.17599,0.0557997
0.176385,0.0560501
0.176779,0.056301
0.177174,0.0565524
0.177568,0.0568042
0.177963,0.0570566
0.178357,0.0573094
0.178752,0.0575627
0.179146,0.0578165
0.179541,0.0580708
0.179936,0.0583255
0.18033,0.0585808
0.180725,0.0588365
0.181119,0.0590927
0.181514,0.0593493
0.181908,0.0596065
0.182303,0.0598641
