r2,N_ipsat
1e-08,4.38516e-09
4.4116e-06,2.12336e-06
1.68162e-05,8.20057e-06
3.72239e-05,1.82534e-05
6.56346e-05,3.22717e-05
0.000102048,5.02413e-05
0.000146465,7.21348e-05
0.000198885,9.79243e-05
0.000259308,0.000127583
0.000327734,0.000161083
0.000404163,0.000198398
0.000488595,0.000239501
0.00058103,0.000284365
0.000681468,0.000332962
0.000789909,0.000385268
0.000906353,0.000441256
0.0010308,0.0005009
0.00116325,0.000564175
0.0013037,0.000631055
0.00145216,0.000701517
0.00160862,0.000775535
0.00177308,0.000853086
0.00194555,0.000934144
0.00212602,0.00101869
0.00231449,0.00110669
0.00251096,0.00119813
0.00271544,0.00129299
0.00292792,0.00139124
0.0031484,0.00149286
0.00337689,0.00159782
0.00361338,0.00170611
0.00385787,0.00181771
0.00411037,0.00193258
0.00437087,0.00205071
0.00463937,0.00217209
0.00491588,0.00229668
0.00520038,0.00242446
0.00549289,0.00255542
0.00579341,0.00268954
0.00610193,0.00282678
0.00641845,0.00296715
0.00674297,0.0031106
0.0070755,0.00325713
0.00741602,0.00340671
0.00776456,0.00355933
0.00812109,0.00371495
0.00848563,0.00387358
0.00885817,0.00403517
0.00923872,0.00419973
0.00962726,0.00436721
0.0100238,0.00453762
0.0104284,0.00471093
0.0108409,0.00488711
0.0112615,0.00506615
0.01169,0.00524804
0.0121266,0.00543275
0.0125712,0.00562027
0.0130238,0.00581058
0.0134843,0.00600365
0.0139529,0.00619948
0.0144295,0.00639804
0.0149141,0.00659931
0.0154067,0.00680329
0.0159072,0.00700994
0.0164158,0.00721926
0.0169324,0.00743123
0.017457,0.00764582
0.0179896,0.00786302
0.0185302,0.00808282
0.0190789,0.0083052
0.0196355,0.00853014
0.0202001,0.00875762
0.0207727,0.00898763
0.0213533,0.00922015
0.0219419,0.00945516
0.0225386,0.00969266
0.0231432,0.00993261
0.0237558,0.010175
0.0243765,0.0104198
0.0250051,0.0106671
0.0256417,0.0109167
0.0262864,0.0111687
0.026939,0.0114231
0.0275997,0.0116799
0.0282683,0.0119389
0.028945,0.0122003
0.0296297,0.012464
0.0303223,0.01273
0.031023,0.0129983
0.0317317,0.0132688
0.0324483,0.0135415
0.033173,0.0138165
0.0339057,0.0140937
0.0346464,0.0143731
0.0353951,0.0146547
0.0361517,0.0149384
0.0369164,0.0152243
0.0376891,0.0155123
0.0384698,0.0158025
0.0392585,0.0160948
0.0400552,0.0163891
0.0408599,0.0166856
0.0416726,0.0169841
0.0424933,0.0172847
0.0433221,0.0175873
0.0441588,0.0178919
0.0450035,0.0181986
0.0458562,0.0185072
0.046717,0.0188178
0.0475857,0.0191304
0.0484624,0.019445
0.0493472,0.0197615
0.0502399,0.0200799
0.0511406,0.0204002
0.0520494,0.0207225
0.0529661,0.0210466
0.0538909,0.0213726
0.0548236,0.0217005
0.0557644,0.0220302
0.0567132,0.0223618
0.0576699,0.0226952
0.0586347,0.0230304
0.0596074,0.0233674
0.0605882,0.0237061
0.061577,0.0240467
0.0625738,0.024389
0.0635786,0.0247331
0.0645913,0.0250789
0.0656121,0.0254264
0.0666409,0.0257757
0.0676777,0.0261266
0.0687225,0.0264792
0.0697753,0.0268335
0.0708361,0.0271895
0.0719049,0.0275471
0.0729817,0.0279064
0.0740665,0.0282672
0.0751594,0.0286297
0.0762602,0.0289938
0.077369,0.0293595
0.0784858,0.0297268
0.0796106,0.0300956
0.0807435,0.0304661
0.0818843,0.030838
0.0830331,0.0312115
0.08419,0.0315865
0.0853548,0.031963
0.0865277,0.032341
0.0877085,0.0327206
0.0888974,0.0331016
0.0900942,0.0334841
0.0912991,0.0338681
0.0925119,0.0342536
0.0937328,0.0346404
0.0949617,0.0350286
0.0961986,0.0354182
0.0974434,0.0358091
0.0986963,0.0362017
0.0999572,0.0365956
0.101226,0.0369908
0.102503,0.0373871
0.103788,0.0377845
0.105081,0.0381828
0.106382,0.0385821
0.107691,0.038986
0.109007,0.0393909
0.110332,0.0397963
0.111665,0.0402025
0.113006,0.0406097
0.114355,0.0410179
0.115712,0.041427
0.117077,0.0418373
0.11845,0.0422487
0.119831,0.0426614
0.12122,0.0430759
0.122617,0.0434916
0.124022,0.0439085
0.125434,0.0443266
0.126855,0.0447459
0.128284,0.0451663
0.129721,0.0455879
0.131166,0.0460106
0.132619,0.0464345
0.13408,0.0468595
0.135549,0.0472856
0.137026,0.0477128
0.138511,0.0481412
0.140004,0.0485706
0.141505,0.0490011
