dataset,W,Sigma,Error
0,25.0,32.6,7.5
0,40.0,41.5,3.48
0,60.0,55.8,4.84
0,80.0,66.6,7.28
0,100.0,73.4,6.43
0,120.0,86.7,7.24
0,140.0,104.0,12.08
0,160.0,110.0,16.28
1,27.5,33.6,2.88
1,42.5,43.8,3.52
1,55.0,57.2,4.02
1,65.0,62.5,4.7
1,75.0,68.9,5.2
1,85.0,72.1,5.69
1,100.0,81.9,5.41
1,117.5,95.7,6.28
1,132.5,103.9,7.0
1,155.0,115.0,8.38
1,185.0,129.1,9.36
1,215.0,141.7,10.71
1,245.0,140.3,16.82
1,275.0,189.0,29.07
2,44.8,46.0,4.66
2,54.8,48.5,4.88
2,64.8,59.7,5.99
2,74.8,62.7,6.36
2,84.9,72.6,7.25
2,94.9,78.6,7.83
2,104.9,82.6,8.32
2,119.5,91.5,8.82
2,144.1,98.3,9.75
2,144.9,98.6,11.65
2,162.5,114.0,13.6
2,177.3,126.0,14.42
2,194.8,143.0,18.03
2,219.6,187.0,28.65
2,219.6,133.0,20.59
2,244.8,171.0,21.4
2,267.2,173.0,22.2
2,292.3,194.0,29.83
3,43.2,50.7,4.9
3,50.0,59.5,5.8
3,57.3,61.8,6.2
3,65.3,67.6,6.2
3,73.9,72.4,6.4
3,83.2,79.9,7.0
3,93.3,84.4,7.0
3,104.3,86.7,7.3
