y,d_sigma_dy_GLC,d_sigma_dy_BG
-7.84672,52.622,55.6261
-7.75218,51.3692,54.2688
-7.65765,50.8968,53.7385
-7.56311,50.9848,53.8015
-7.46857,51.4853,54.3009
-7.37403,52.2955,55.1275
-7.27949,53.3412,56.2028
-6.99587,57.4063,60.4067
-7.09041,55.9334,58.8813
-7.18495,54.5677,57.4687
-6.8068,60.5786,63.6953
-6.90133,58.9614,62.0184
-6.71226,62.2419,65.4204
-6.61772,63.9383,67.1801
-6.42864,67.3899,70.7605
-6.52318,65.6572,68.9632
-6.3341,69.1292,72.5646
-6.23956,70.8691,74.3692
-6.14502,72.6048,76.1691
-6.05049,74.3321,77.9602
-5.95595,76.0478,79.739
-5.86141,77.7489,81.5025
-5.67233,81.0987,84.9744
-5.76687,79.4332,83.2482
-5.57779,82.7438,86.6791
-5.38871,85.9676,90.0195
-5.48325,84.3671,88.3612
-5.29417,87.5444,91.653
-5.19964,89.0966,93.261
-5.1051,90.6236,94.8429
-4.91602,93.6002,97.9261
-5.01056,92.125,96.398
-4.82148,95.0489,99.4266
-4.72694,96.4709,100.899
-4.6324,97.8658,102.344
-4.53786,99.2334,103.761
-4.25425,103.171,107.84
-4.34879,101.886,106.509
-4.44332,100.574,105.149
-4.15971,104.428,109.142
-4.06517,105.658,110.416
-3.97063,106.859,111.66
-3.87609,108.032,112.876
-3.68701,110.294,115.22
-3.78155,109.177,114.063
-3.49794,112.444,117.448
-3.4034,113.476,118.518
-3.59248,111.383,116.349
-3.30886,114.48,119.559
-3.21432,115.456,120.571
-3.02524,117.323,122.507
-3.11978,116.404,121.554
-2.9307,118.213,123.431
-2.74163,119.91,125.19
-2.64709,120.716,126.026
-2.83616,119.076,124.325
-2.55255,121.493,126.833
-2.36347,122.963,128.358
-2.26893,123.655,129.076
-2.17439,124.319,129.765
-2.45801,122.242,127.61
-1.98532,125.561,131.056
-1.89078,126.14,131.657
-1.79624,126.691,132.228
-2.07985,124.954,130.425
-1.7017,127.213,132.77
-1.60716,127.707,133.283
-1.51262,128.172,133.767
-1.41808,128.61,134.221
-1.32354,129.018,134.646
-1.13447,129.752,135.407
-1.229,129.399,135.041
-0.945388,130.372,136.052
-1.03993,130.076,135.744
-0.756311,130.879,136.579
-0.850849,130.64,136.33
-0.661772,131.09,136.798
-0.567233,131.273,136.989
-0.472694,131.428,137.15
-0.378155,131.555,137.281
-0.189078,131.724,137.457
-0.283616,131.654,137.384
0,131.781,137.516
-0.0945388,131.766,137.501
0.189078,131.724,137.457
0.0945388,131.766,137.501
0.283616,131.654,137.384
0.378155,131.555,137.281
0.567233,131.273,136.989
0.472694,131.428,137.15
0.756311,130.879,136.579
0.661772,131.09,136.798
0.850849,130.64,136.33
0.945388,130.372,136.052
1.13447,129.752,135.407
1.03993,130.076,135.744
1.32354,129.018,134.646
1.41808,128.61,134.221
1.229,129.399,135.041
1.51262,128.172,133.767
1.60716,127.707,133.283
1.7017,127.213,132.77
1.79624,126.691,132.228
1.89078,126.14,131.657
1.98532,125.561,131.056
2.07985,124.954,130.425
2.26893,123.655,129.076
2.17439,124.319,129.765
2.36347,122.963,128.358
2.55255,121.493,126.833
2.45801,122.242,127.61
2.64709,120.716,126.026
2.74163,119.91,125.19
2.83616,119.076,124.325
2.9307,118.213,123.431
3.21432,115.456,120.571
3.11978,116.404,121.554
3.02524,117.323,122.507
3.30886,114.48,119.559
3.4034,113.476,118.518
3.49794,112.444,117.448
3.59248,111.383,116.349
3.68701,110.294,115.22
3.78155,109.177,114.063
3.87609,108.032,112.876
3.97063,106.859,111.66
4.06517,105.658,110.416
4.25425,103.171,107.84
4.15971,104.428,109.142
4.34879,101.886,106.509
4.44332,100.574,105.149
4.53786,99.2334,103.761
4.6324,97.8658,102.344
4.72694,96.4709,100.899
4.91602,93.6002,97.9261
4.82148,95.0489,99.4266
5.01056,92.125,96.398
5.1051,90.6236,94.8429
5.19964,89.0966,93.261
5.38871,85.9676,90.0195
5.48325,84.3671,88.3612
5.29417,87.5444,91.653
5.57779,82.7438,86.6791
5.67233,81.0987,84.9744
5.76687,79.4332,83.2482
5.86141,77.7489,81.5025
5.95595,76.0478,79.739
6.05049,74.3321,77.9602
6.23956,70.8691,74.3692
6.14502,72.6048,76.1691
6.3341,69.1292,72.5646
6.42864,67.3899,70.7605
6.52318,65.6572,68.9632
6.61772,63.9383,67.1801
6.8068,60.5786,63.6953
6.71226,62.2419,65.4204
6.90133,58.9614,62.0184
6.99587,57.4063,60.4067
7.09041,55.9334,58.8813
7.18495,54.5677,57.4687
7.27949,53.3412,56.2028
7.37403,52.2955,55.1275
7.56311,50.9848,53.8015
