t,dsigma_dt_GLC,dsigma_dt_BG
0.0536913,16590.2,25551.9
0.134228,10467.6,16014.4
0.0268456,19278.2,29751.9
0.241611,5511.27,8341.62
0.187919,7628.31,11611.6
0,22367.4,34586.3
0.214765,6491.42,9853.87
0.107383,12226,18748.5
0.161074,8944.95,13651.2
0.0805369,14254,21907.3
0.268456,4667.6,7042.82
0.295302,3942.68,5929.4
0.322148,3320.93,4976.79
0.510067,902.655,1307.83
0.348993,2788.73,4163.48
0.42953,1617.27,2383.03
0.456376,1337.94,1961.37
0.375839,2334.12,3470.68
0.402685,1946.67,2881.97
0.483221,1101.75,1606.12
0.536913,735.388,1058.31
0.671141,236.204,323.886
0.61745,381.82,535.75
0.563758,595.382,850.422
0.751678,104.505,136.126
0.590604,478.671,678.013
0.644295,301.853,419.03
0.724832,139.303,185.155
0.697987,182.656,246.905
0.778523,76.8585,97.6701
0.85906,25.6588,28.7652
0.805369,55.1603,67.9569
0.832215,38.3848,45.4288
0.966443,2.04766,0.925737
0.912752,9.50511,8.74225
0.939597,4.92186,3.65385
0.885906,16.2412,16.8498
0.993289,0.511398,0.0104206
1.02013,0.00436832,0.455496
1.04698,0.271162,1.88959
1.18121,7.09988,15.1643
1.07383,1.10184,4.01017
1.10067,2.32515,6.57299
1.26174,11.863,22.8554
1.15436,5.42333,12.2865
1.12752,3.80258,9.383
1.20805,8.76425,17.9261
1.2349,10.3647,20.5055
1.28859,13.232,24.9451
1.31544,14.4537,26.7565
1.34228,15.5173,28.282
1.44966,18.1593,31.6199
1.42282,17.7342,31.1776
1.36913,16.4181,29.522
1.39597,17.1559,30.4833
1.47651,18.4394,31.8276
1.5302,18.6045,31.6172
1.50336,18.5843,31.8201
1.55705,18.5114,31.2392
1.58389,18.3164,30.7065
1.61074,18.0308,30.0388
1.63758,17.666,29.255
1.66443,17.2326,28.3734
1.69128,16.7409,27.4108
1.71812,16.2008,26.3833
1.77181,15.0108,24.1907
1.74497,15.6213,25.3055
1.85235,13.0673,20.7407
1.79866,14.3771,23.0512
1.87919,12.4033,19.5882
1.8255,13.7271,21.8979
1.90604,11.7402,18.4479
1.93289,11.0824,17.3266
2.01342,9.17738,14.1275
1.95973,10.4339,16.2296
1.98658,9.79793,15.162
2.12081,6.89077,10.3758
2.04027,8.57462,13.1294
2.06711,7.99161,12.1702
2.09396,7.42992,11.2519
2.14765,6.37507,9.54274
2.1745,5.88342,8.75325
2.22819,4.97356,7.30488
2.20134,5.41621,8.00739
2.25503,4.55543,6.64518
2.28188,4.1616,6.02749
2.33557,3.44523,4.91398
2.30872,3.7917,5.45082
2.41611,2.54004,3.52884
2.36242,3.1216,4.41568
2.38926,2.82012,3.95447
2.44295,2.28055,3.13722
2.4698,2.04079,2.77797
2.57718,1.26119,1.63179
2.49664,1.81988,2.44947
2.52349,1.61692,2.15003
2.63087,0.966278,1.21026
2.55034,1.431,1.87802
2.71141,0.622417,0.732239
2.60403,1.10658,1.40973
2.65772,0.83939,1.03184
2.68456,0.725051,0.872976
2.73826,0.530673,0.608243
2.7651,0.44903,0.499663
2.84564,0.257304,0.254094
2.79195,0.376732,0.405235
2.92617,0.131218,0.105516
2.81879,0.313054,0.323759
2.87248,0.208825,0.195165
2.89933,0.166993,0.145957
2.95302,0.100943,0.0729494
2.97987,0.075645,0.0474233
3.00671,0.0548343,0.0281604
3.11409,0.00774427,8.99773e-05
3.0604,0.0248699,0.00559009
3.14094,0.00308984,0.00234807
3.03356,0.0380519,0.0144388
3.08725,0.0148905,0.000996666
3.16779,0.000612044,0.00729332
3.19463,2.09794e-05,0.0144901
3.22148,0.00105072,0.0235423
3.24832,0.00345807,0.0340915
3.27517,0.00702135,0.0458142
3.32886,0.0168291,0.0716486
3.30201,0.0115391,0.0584198
3.38255,0.0290844,0.0990778
3.3557,0.0227268,0.0852694
3.4094,0.03577,0.112894
3.48993,0.0566855,0.152925
3.43624,0.042666,0.126561
3.46309,0.0496683,0.139944
3.51678,0.0636376,0.165405
3.59732,0.0834585,0.199095
3.54362,0.0704553,0.177304
3.57047,0.0770791,0.188552
3.7047,0.105793,0.233538
3.62416,0.0895512,0.208892
3.65101,0.0953223,0.217911
3.67785,0.100744,0.22613
3.73154,0.110455,0.240128
3.75839,0.114717,0.245904
3.78523,0.118572,0.250872
3.83893,0.125054,0.258445
3.81208,0.122018,0.255047
3.89262,0.129915,0.263005
3.86577,0.127685,0.26109
3.91946,0.131754,0.264218
3.97315,0.134301,0.264661
3.94631,0.133212,0.26476
4,0.135034,0.263956
