y,d_sigma_dy_GLC,d_sigma_dy_BG
-8.54906,0,0
-7.95063,0.705383,0.736542
-7.77965,1.26457,1.32122
-7.86514,0.951913,0.994201
-8.2071,0.256676,0.267956
-7.69416,1.65636,1.73139
-8.46357,0.0781693,0.0816049
-8.03612,0.513602,0.536216
-8.12161,0.366816,0.382943
-8.37808,0.118283,0.123482
-8.29259,0.175946,0.183678
-7.60867,2.1416,2.23992
-7.01023,9.3098,9.77993
-7.52318,2.73537,2.86282
-7.43769,3.4527,3.61607
-7.3522,4.30769,4.51464
-7.2667,5.31263,5.5716
-7.18121,6.47735,6.79731
-7.09572,7.80859,8.1989
-6.92474,10.981,11.5403
-6.83925,12.8188,13.4764
-6.75376,14.8169,15.5814
-6.66827,16.9665,17.8456
-6.58278,19.2563,20.2572
-6.49729,21.6737,22.8027
-6.4118,24.2047,25.467
-6.32631,26.8348,28.2347
-5.89885,40.96,43.0808
-6.24082,29.5491,31.09
-6.06984,35.1716,37.0008
-6.15533,32.3328,34.0171
-5.98435,38.0516,40.0266
-5.81336,43.8849,46.1507
-5.72787,46.8151,49.2247
-5.38591,58.4072,61.3702
-5.55689,52.653,55.3445
-5.64238,49.7407,52.2924
-5.4714,55.5441,58.3728
-4.95846,72.1251,75.7097
-5.30042,61.2363,64.3305
-5.12944,66.7736,70.12
-5.04395,69.4741,72.9414
-5.21493,64.0265,67.2486
-4.87297,74.7246,78.4227
-4.44551,86.9023,91.115
-4.78748,77.2707,81.0788
-4.61649,82.1983,86.2157
-4.531,84.5785,88.6951
-4.70199,79.7622,83.6767
-4.27453,91.3816,95.7762
-4.36002,89.17,93.4752
-4.10355,95.6382,100.202
-4.18904,93.5375,98.0184
-4.01806,97.6842,102.328
-3.93257,99.6761,104.398
-3.84708,101.615,106.411
-3.16315,115.295,120.601
-3.76159,103.501,108.369
-3.59061,107.118,112.123
-3.6761,105.335,110.273
-3.50512,108.851,113.921
-3.41963,110.535,115.667
-3.33414,112.169,117.361
-3.24864,113.756,119.006
-3.07766,116.787,122.147
-2.90668,119.634,125.097
-2.99217,118.233,123.646
-2.22276,129.261,135.064
-2.82119,120.989,126.501
-2.7357,122.301,127.859
-2.65021,123.568,129.171
-2.56472,124.792,130.438
-2.47923,125.973,131.66
-2.39374,127.111,132.838
-2.30825,128.207,133.973
-2.13727,130.273,136.111
-1.96628,132.174,138.078
-2.05178,131.245,137.116
-1.88079,133.064,138.998
-1.7953,133.912,139.876
-1.70981,134.72,140.712
-1.62432,135.488,141.506
-1.28236,138.159,144.27
-1.53883,136.215,142.259
-1.45334,136.903,142.97
-1.36785,137.551,143.64
-1.19687,138.728,144.858
-0.683925,141.311,147.53
-1.11138,139.257,145.405
-1.02589,139.746,145.911
-0.341963,142.249,148.5
-0.940397,140.196,146.377
-0.854906,140.607,146.802
-0.769416,140.979,147.186
-0.598435,141.604,147.833
-0.512944,141.858,148.096
-0.427453,142.073,148.318
-0.256472,142.385,148.641
0,142.561,148.823
-0.170981,142.483,148.742
-0.0854906,142.541,148.803
0.0854906,142.541,148.803
0.170981,142.483,148.742
0.256472,142.385,148.641
0.341963,142.249,148.5
0.427453,142.073,148.318
0.512944,141.858,148.096
0.598435,141.604,147.833
0.683925,141.311,147.53
0.769416,140.979,147.186
