W,sigma_GLC,sigma_BG
25,1458.27,1530.22
26.2387,1482.22,1555
27.5387,1506.01,1579.61
28.9032,1529.65,1604.07
30.3352,1553.14,1628.36
31.8382,1576.48,1652.5
33.4157,1599.67,1676.49
35.0714,1622.72,1700.32
36.8091,1645.63,1724.01
38.6328,1668.39,1747.55
40.547,1691.02,1770.95
42.5559,1713.5,1794.2
44.6644,1735.84,1817.31
46.8774,1758.05,1840.27
49.2001,1780.11,1863.09
51.6378,1802.03,1885.76
54.1963,1823.81,1908.29
56.8815,1845.44,1930.67
59.6998,1866.93,1952.9
62.6577,1888.27,1974.99
65.7622,1909.47,1996.92
69.0206,1930.51,2018.7
72.4403,1951.4,2040.32
76.0295,1972.14,2061.79
79.7965,1992.73,2083.11
83.7502,2013.16,2104.26
87.8997,2033.43,2125.25
92.2549,2053.54,2146.08
96.8258,2073.49,2166.75
101.623,2093.27,2187.24
106.658,2112.89,2207.57
111.943,2132.35,2227.74
117.489,2151.63,2247.72
123.311,2170.74,2267.54
129.42,2189.68,2287.18
135.833,2208.45,2306.64
142.563,2227.04,2325.93
149.626,2245.46,2345.03
157.04,2263.7,2363.96
164.821,2281.76,2382.7
172.987,2299.64,2401.26
181.558,2317.34,2419.63
190.553,2334.86,2437.82
199.995,2352.19,2455.82
209.904,2369.34,2473.64
220.304,2386.31,2491.26
231.219,2403.09,2508.7
242.676,2419.69,2525.95
254.699,2436.1,2543
267.319,2452.32,2559.87
280.564,2468.36,2576.54
294.465,2484.21,2593.02
309.055,2499.87,2609.31
324.367,2515.35,2625.41
340.439,2530.64,2641.32
357.306,2545.74,2657.03
375.01,2560.65,2672.55
393.59,2575.38,2687.89
413.091,2589.92,2703.02
433.559,2604.28,2717.97
455.04,2618.45,2732.73
477.586,2632.44,2747.3
501.249,2646.24,2761.68
526.084,2659.86,2775.87
552.15,2673.3,2789.87
579.507,2686.55,2803.68
608.22,2699.62,2817.31
638.356,2712.52,2830.75
669.984,2725.23,2844
703.18,2737.77,2857.08
738.02,2750.13,2869.96
774.587,2762.31,2882.67
812.965,2774.32,2895.2
853.245,2786.15,2907.55
895.52,2797.82,2919.72
939.891,2809.31,2931.71
986.459,2820.63,2943.52
1035.34,2831.78,2955.17
1086.63,2842.77,2966.63
1140.47,2853.59,2977.93
1196.98,2864.25,2989.06
1256.29,2874.74,3000.02
1318.53,2885.07,3010.81
1383.86,2895.25,3021.44
1452.43,2905.26,3031.9
1524.39,2915.12,3042.2
1599.92,2924.83,3052.34
1679.19,2934.38,3062.32
1762.39,2943.78,3072.14
1849.71,2953.03,3081.81
1941.35,2962.13,3091.32
2037.54,2971.08,3100.68
2138.5,2979.89,3109.89
2244.45,2988.55,3118.94
2355.66,2997.08,3127.86
2472.37,3005.46,3136.62
2594.87,3013.71,3145.24
2723.44,3021.81,3153.72
2858.38,3029.79,3162.06
3000,3037.63,3170.26
