W,sigma_GLC,sigma_BG
25,1083.96,1604.37
26.2387,1096.93,1622.74
27.5387,1109.63,1640.72
28.9032,1122.06,1658.3
30.3352,1134.24,1675.51
31.8382,1146.16,1692.35
33.4157,1157.84,1708.84
35.0714,1169.28,1724.98
36.8091,1180.49,1740.79
38.6328,1191.46,1756.26
40.547,1202.22,1771.41
42.5559,1212.75,1786.25
44.6644,1223.07,1800.78
46.8774,1233.18,1815.02
49.2001,1243.09,1828.95
51.6378,1252.79,1842.6
54.1963,1262.3,1855.97
56.8815,1271.61,1869.06
59.6998,1280.73,1881.89
62.6577,1289.66,1894.44
65.7622,1298.41,1906.74
69.0206,1306.98,1918.77
72.4403,1315.37,1930.56
76.0295,1323.59,1942.1
79.7965,1331.63,1953.4
83.7502,1339.51,1964.46
87.8997,1347.22,1975.29
92.2549,1354.76,1985.89
96.8258,1362.15,1996.26
101.623,1369.38,2006.41
106.658,1376.46,2016.34
111.943,1383.38,2026.06
117.489,1390.15,2035.57
123.311,1396.78,2044.87
129.42,1403.26,2053.96
135.833,1409.6,2062.86
142.563,1415.79,2071.56
149.626,1421.86,2080.07
157.04,1427.78,2088.39
164.821,1433.58,2096.53
172.987,1439.24,2104.48
181.558,1444.78,2112.25
190.553,1450.19,2119.85
199.995,1455.48,2127.28
209.904,1460.65,2134.53
220.304,1465.7,2141.62
231.219,1470.63,2148.55
242.676,1475.45,2155.31
254.699,1480.16,2161.92
267.319,1484.76,2168.38
280.564,1489.25,2174.68
294.465,1493.63,2180.84
309.055,1497.91,2186.85
324.367,1502.09,2192.72
340.439,1506.17,2198.46
357.306,1510.16,2204.05
375.01,1514.05,2209.51
393.59,1517.84,2214.84
413.091,1521.54,2220.04
433.559,1525.16,2225.12
455.04,1528.68,2230.08
477.586,1532.12,2234.91
501.249,1535.48,2239.63
526.084,1538.76,2244.23
552.15,1541.95,2248.71
579.507,1545.07,2253.09
608.22,1548.1,2257.36
638.356,1551.07,2261.53
669.984,1553.96,2265.59
703.18,1556.78,2269.55
738.02,1559.52,2273.41
774.587,1562.2,2277.18
812.965,1564.81,2280.85
853.245,1567.36,2284.43
895.52,1569.84,2287.92
939.891,1572.26,2291.32
986.459,1574.62,2294.64
1035.34,1576.92,2297.87
1086.63,1579.16,2301.02
1140.47,1581.34,2304.09
1196.98,1583.47,2307.08
1256.29,1585.54,2310
1318.53,1587.56,2312.84
1383.86,1589.53,2315.61
1452.43,1591.45,2318.31
1524.39,1593.32,2320.93
1599.92,1595.14,2323.5
1679.19,1596.91,2325.99
1762.39,1598.64,2328.42
1849.71,1600.32,2330.79
1941.35,1601.96,2333.09
2037.54,1603.56,2335.34
2138.5,1605.12,2337.53
2244.45,1606.63,2339.66
2355.66,1608.11,2341.74
2472.37,1609.54,2343.76
2594.87,1610.94,2345.73
2723.44,1612.3,2347.65
2858.38,1613.63,2349.51
3000,1614.92,2351.33
