W,sigma_GLC,sigma_BG
101.9,165.05,6375.07
93.2637,160.198,6143.29
85.3594,155.348,5914.74
78.1249,150.508,5689.64
71.5036,145.683,5468.2
65.4435,140.88,5250.62
59.897,136.105,5037.09
54.8206,131.363,4827.79
50.1744,126.662,4622.9
45.922,122.007,4422.57
42.0299,117.403,4226.93
38.4678,112.858,4036.13
35.2075,108.375,3850.27
32.2236,103.962,3669.47
29.4926,99.6226,3493.79
26.993,95.3623,3323.33
24.7053,91.1857,3158.12
22.6114,87.0973,2998.23
20.6951,83.1013,2843.66
18.9411,79.2013,2694.45
17.3358,75.4008,2550.59
15.8665,71.703,2412.07
14.5218,68.1105,2278.85
13.291,64.6257,2150.91
12.1646,61.2506,2028.18
11.1336,57.9867,1910.61
10.19,54.8352,1798.13
9.32637,51.797,1690.65
8.53594,48.8724,1588.07
7.81249,46.0616,1490.3
7.15036,43.3643,1397.23
6.54435,40.7798,1308.74
5.9897,38.3072,1224.71
5.48206,35.9452,1145.01
5.01744,33.6922,1069.51
4.5922,31.5466,998.079
4.20299,29.5061,930.575
3.84678,27.5685,866.859
3.52075,25.7312,806.789
3.22236,23.9917,750.221
