W,sigma_GLC,sigma_BG
101.9,1628.04,1420.18
93.2637,1558.87,1355.68
85.3594,1491.28,1292.85
78.1249,1425.32,1231.72
71.5036,1361.02,1172.32
65.4435,1298.42,1114.68
59.897,1237.55,1058.81
54.8206,1178.44,1004.75
50.1744,1121.1,952.488
45.922,1065.56,902.041
42.0299,1011.81,853.409
38.4678,959.877,806.587
35.2075,909.751,761.569
32.2236,861.432,718.342
29.4926,814.914,676.891
26.993,770.184,637.194
24.7053,727.228,599.228
22.6114,686.026,562.965
20.6951,646.555,528.375
18.9411,608.789,495.423
17.3358,572.7,464.073
15.8665,538.253,434.286
14.5218,505.416,406.02
13.291,474.149,379.232
12.1646,444.414,353.877
11.1336,416.17,329.908
10.19,389.373,307.279
9.32637,363.979,285.94
8.53594,339.943,265.843
7.81249,317.217,246.939
7.15036,295.756,229.178
6.54435,275.511,212.51
5.9897,256.436,196.886
5.48206,238.481,182.259
5.01744,221.601,168.579
4.5922,205.747,155.8
4.20299,190.874,143.876
3.84678,176.935,132.761
3.52075,163.885,122.411
3.22236,151.68,112.784
