W,sigma_GLC,sigma_BG
7.76,4664.65,5409.09
8.2413,4756.51,5500.92
8.75245,4848.05,5591.73
9.2953,4939.23,5681.52
9.87183,5030.03,5770.3
10.4841,5120.42,5858.07
11.1344,5210.36,5944.84
11.8249,5299.84,6030.59
12.5584,5389,6115.43
13.3373,5477.43,6199.11
14.1645,5565.33,6281.77
15.043,5652.67,6363.43
15.976,5739.57,6444.1
16.9669,5825.63,6523.6
18.0193,5911.07,6602.08
19.1369,5995.9,6679.52
20.3238,6080.01,6755.89
21.5843,6163.49,6831.21
22.9231,6246.11,6905.38
24.3448,6328.06,6978.53
25.8548,6409.22,7050.57
27.4583,6489.65,7121.56
29.1614,6569.19,7191.4
30.9701,6647.96,7260.17
32.8909,6725.94,7327.9
34.9309,6803.01,7394.45
37.0974,6879.26,7459.94
39.3983,6954.66,7524.37
41.8419,7029.12,7587.64
44.4371,7102.73,7649.85
47.1932,7175.48,7711.02
50.1203,7247.21,7771.01
53.2289,7318.09,7829.96
56.5303,7388.07,7887.87
60.0365,7457.06,7944.65
63.7602,7525.15,8000.4
67.7148,7592.24,8055.04
71.9146,7658.43,8108.66
76.375,7723.67,8161.23
81.112,7787.92,8212.75
86.1428,7851.29,8263.29
91.4857,7913.61,8312.74
97.1599,7975.08,8361.25
103.186,8035.45,8408.66
109.586,8094.99,8455.17
116.383,8153.46,8500.62
123.601,8211.09,8545.18
131.267,8267.66,8588.7
139.409,8323.4,8631.36
148.055,8378.08,8672.99
157.238,8431.94,8713.8
166.991,8484.72,8753.59
177.348,8536.69,8792.57
188.348,8587.65,8830.6
200.03,8637.75,8867.81
212.436,8686.93,8904.14
225.612,8735.2,8939.63
239.605,8782.64,8974.34
254.466,8829.1,9008.16
270.249,8874.76,9041.23
287.011,8919.45,9073.45
304.812,8963.34,9104.93
323.717,9006.43,9135.69
343.795,9048.6,9165.65
365.118,9089.97,9194.9
387.764,9130.48,9223.4
411.814,9170.2,9251.21
437.356,9209.23,9278.41
464.482,9247.26,9304.79
493.291,9284.61,9330.57
523.886,9321.29,9355.76
556.379,9357.02,9380.2
590.888,9392.09,9404.06
627.536,9426.51,9427.38
666.458,9460.03,9449.98
707.794,9492.92,9472.05
751.693,9525.22,9493.63
798.316,9556.6,9514.5
847.83,9587.41,9534.89
900.415,9617.62,9554.8
956.261,9647.04,9574.1
1015.57,9675.88,9592.93
1078.56,9704.07,9611.25
1145.46,9731.68,9629.12
1216.5,9758.56,9646.44
1291.95,9784.9,9663.33
1372.08,9810.72,9679.81
1457.18,9835.84,9695.79
1547.56,9860.42,9711.34
1643.55,9884.43,9726.48
1745.48,9908.01,9741.27
1853.74,9930.87,9755.55
1968.72,9953.27,9769.49
2090.82,9975.14,9783.03
2220.5,9996.61,9796.27
2358.23,10017.4,9809.06
2504.49,10037.8,9821.51
2659.83,10057.7,9833.62
2824.8,10077.2,9845.44
3000,10096.2,9856.91
