r,sigma_dipolo
1.973e-05,3.316e-09
1.97755e-05,3.33228e-09
1.98211e-05,3.34863e-09
1.98668e-05,3.36507e-09
1.99126e-05,3.38159e-09
1.99585e-05,3.39819e-09
2.00045e-05,3.41487e-09
2.00507e-05,3.43163e-09
2.00969e-05,3.44848e-09
2.01432e-05,3.46541e-09
2.01897e-05,3.48242e-09
2.02362e-05,3.49952e-09
2.02829e-05,3.5167e-09
2.03296e-05,3.53396e-09
2.03765e-05,3.55131e-09
2.04235e-05,3.56874e-09
2.04706e-05,3.58626e-09
2.05178e-05,3.60387e-09
2.05651e-05,3.62157e-09
2.06125e-05,3.63934e-09
2.066e-05,3.65721e-09
2.07077e-05,3.67517e-09
2.07554e-05,3.69321e-09
2.08033e-05,3.71134e-09
2.08512e-05,3.72956e-09
2.08993e-05,3.74787e-09
2.09475e-05,3.76627e-09
2.09958e-05,3.78477e-09
2.10442e-05,3.80335e-09
2.10927e-05,3.82202e-09
2.11414e-05,3.84079e-09
2.11901e-05,3.85964e-09
2.1239e-05,3.87859e-09
2.12879e-05,3.89764e-09
2.1337e-05,3.91678e-09
2.13862e-05,3.93601e-09
2.14355e-05,3.95533e-09
2.1485e-05,3.97475e-09
2.15345e-05,3.99427e-09
2.15841e-05,4.01388e-09
2.16339e-05,4.03359e-09
2.16838e-05,4.0534e-09
2.17338e-05,4.0733e-09
2.17839e-05,4.0933e-09
2.18341e-05,4.1134e-09
2.18845e-05,4.1336e-09
2.19349e-05,4.1539e-09
2.19855e-05,4.17429e-09
2.20362e-05,4.19479e-09
2.2087e-05,4.21539e-09
2.21379e-05,4.23609e-09
2.2189e-05,4.25689e-09
2.22401e-05,4.2778e-09
2.22914e-05,4.2988e-09
2.23428e-05,4.31991e-09
2.23943e-05,4.34113e-09
2.2446e-05,4.36244e-09
2.24977e-05,4.38387e-09
2.25496e-05,4.4054e-09
2.26016e-05,4.42703e-09
2.26537e-05,4.44877e-09
2.27059e-05,4.47062e-09
2.27583e-05,4.49257e-09
2.28108e-05,4.51464e-09
2.28634e-05,4.53681e-09
2.29161e-05,4.55909e-09
2.29689e-05,4.58148e-09
2.30219e-05,4.60398e-09
2.30749e-05,4.62659e-09
2.31281e-05,4.64931e-09
2.31815e-05,4.67215e-09
2.32349e-05,4.69509e-09
2.32885e-05,4.71815e-09
2.33422e-05,4.74133e-09
2.3396e-05,4.76461e-09
2.345e-05,4.78801e-09
2.3504e-05,4.81153e-09
2.35582e-05,4.83516e-09
2.36125e-05,4.85891e-09
2.3667e-05,4.88277e-09
2.37216e-05,4.90676e-09
2.37762e-05,4.93086e-09
2.38311e-05,4.95508e-09
