# dataset,W,dummy,sigma(ub),stat+,stat-,sys+,sys-
0,27.5,0,0.0336,0.00288,-0.00288,0,0
0,42.5,0,0.0438,0.00352,-0.00352,0,0
0,55.0,0,0.0572,0.00402,-0.00402,0,0
0,65.0,0,0.0625,0.00470,-0.00470,0,0
0,75.0,0,0.0689,0.00520,-0.00520,0,0
0,85.0,0,0.0721,0.00569,-0.00569,0,0
0,100.0,0,0.0819,0.00541,-0.00541,0,0
0,117.5,0,0.0957,0.00628,-0.00628,0,0
0,132.5,0,0.1039,0.00700,-0.00700,0,0
0,155.0,0,0.1150,0.00838,-0.00838,0,0
0,185.0,0,0.1291,0.00936,-0.00936,0,0
0,215.0,0,0.1417,0.01071,-0.01071,0,0
0,245.0,0,0.1403,0.01682,-0.01682,0,0
0,275.0,0,0.1890,0.02907,-0.02907,0,0
1,44.8,0,0.0460,0.00466,-0.00466,0,0
1,54.8,0,0.0485,0.00488,-0.00488,0,0
1,64.8,0,0.0597,0.00599,-0.00599,0,0
1,74.8,0,0.0627,0.00636,-0.00636,0,0
1,84.9,0,0.0726,0.00725,-0.00725,0,0
1,94.9,0,0.0786,0.00783,-0.00783,0,0
1,104.9,0,0.0826,0.00832,-0.00832,0,0
1,119.5,0,0.0915,0.00882,-0.00882,0,0
1,144.1,0,0.0983,0.00975,-0.00975,0,0
1,144.9,0,0.0986,0.01165,-0.01165,0,0
1,162.5,0,0.1140,0.01360,-0.01360,0,0
1,177.3,0,0.1260,0.01442,-0.01442,0,0
1,194.8,0,0.1430,0.01803,-0.01803,0,0
1,219.6,0,0.1870,0.02865,-0.02865,0,0
1,219.6,0,0.1330,0.02059,-0.02059,0,0
1,244.8,0,0.1710,0.02140,-0.02140,0,0
1,267.2,0,0.1730,0.02220,-0.02220,0,0
1,292.3,0,0.1940,0.02983,-0.02983,0,0
2,32.3,0,0.0332,0.00390,-0.00390,0,0
2,24.1,0,0.0277,0.00460,-0.00460,0,0
2,30.9,0,0.0347,0.00430,-0.00430,0,0
2,39.6,0,0.0385,0.00700,-0.00700,0,0
2,706.0,0,0.2840,0.05300,-0.05300,0,0
3,582.0,0,0.2940,0.02500,-0.02500,0,0
3,660.0,0,0.2940,0.01700,-0.01700,0,0
3,747.0,0,0.3190,0.01700,-0.01700,0,0
3,851.0,0,0.3370,0.01700,-0.01700,0,0
3,963.0,0,0.3580,0.01700,-0.01700,0,0
3,1091.0,0,0.3890,0.01800,-0.01800,0,0
3,1235.0,0,0.4330,0.02000,-0.02000,0,0
3,1398.0,0,0.4670,0.02200,-0.02200,0,0
3,1583.0,0,0.4800,0.02500,-0.02500,0,0
3,1792.0,0,0.5940,0.03400,-0.03400,0,0
