r,overlap_GLC,overlap_BG
1.97239e-05,9.87695e-07,1.00745e-06
1.99663e-05,9.98912e-07,1.0189e-06
2.02118e-05,1.01026e-06,1.03047e-06
2.04603e-05,1.02173e-06,1.04218e-06
2.07118e-05,1.03333e-06,1.05401e-06
2.09664e-05,1.04506e-06,1.06598e-06
2.12241e-05,1.05692e-06,1.07809e-06
2.14851e-05,1.06892e-06,1.09033e-06
2.17492e-05,1.08105e-06,1.10271e-06
2.20165e-05,1.09332e-06,1.11523e-06
2.22872e-05,1.10573e-06,1.12789e-06
2.25612e-05,1.11828e-06,1.14069e-06
2.28385e-05,1.13097e-06,1.15364e-06
2.31193e-05,1.1438e-06,1.16673e-06
2.34035e-05,1.15678e-06,1.17997e-06
2.36912e-05,1.1699e-06,1.19336e-06
2.39824e-05,1.18317e-06,1.2069e-06
2.42773e-05,1.19659e-06,1.22059e-06
2.45757e-05,1.21016e-06,1.23444e-06
2.48778e-05,1.22389e-06,1.24845e-06
2.51837e-05,1.23776e-06,1.26261e-06
2.54932e-05,1.2518e-06,1.27693e-06
2.58066e-05,1.26599e-06,1.29141e-06
2.61239e-05,1.28035e-06,1.30606e-06
2.6445e-05,1.29486e-06,1.32087e-06
2.67701e-05,1.30954e-06,1.33584e-06
2.70992e-05,1.32438e-06,1.35099e-06
2.74324e-05,1.33939e-06,1.3663e-06
2.77696e-05,1.35457e-06,1.38179e-06
2.8111e-05,1.36992e-06,1.39746e-06
2.84565e-05,1.38544e-06,1.4133e-06
2.88064e-05,1.40114e-06,1.42931e-06
2.91605e-05,1.41701e-06,1.44551e-06
2.9519e-05,1.43306e-06,1.46189e-06
2.98818e-05,1.4493e-06,1.47845e-06
3.02492e-05,1.46571e-06,1.4952e-06
3.06211e-05,1.48231e-06,1.51214e-06
3.09975e-05,1.4991e-06,1.52927e-06
3.13785e-05,1.51607e-06,1.54659e-06
3.17643e-05,1.53324e-06,1.56411e-06
3.21548e-05,1.5506e-06,1.58183e-06
3.25501e-05,1.56815e-06,1.59974e-06
3.29502e-05,1.5859e-06,1.61785e-06
3.33553e-05,1.60385e-06,1.63617e-06
3.37653e-05,1.622e-06,1.65469e-06
3.41804e-05,1.64036e-06,1.67343e-06
3.46006e-05,1.65892e-06,1.69237e-06
3.50259e-05,1.67769e-06,1.71152e-06
3.54565e-05,1.69667e-06,1.73089e-06
3.58924e-05,1.71587e-06,1.75048e-06
3.63336e-05,1.73528e-06,1.77029e-06
3.67803e-05,1.75491e-06,1.79032e-06
3.72324e-05,1.77475e-06,1.81058e-06
3.76902e-05,1.79483e-06,1.83106e-06
3.81535e-05,1.81512e-06,1.85177e-06
3.86225e-05,1.83565e-06,1.87272e-06
3.90973e-05,1.8564e-06,1.8939e-06
3.95779e-05,1.87739e-06,1.91532e-06
4.00645e-05,1.89861e-06,1.93697e-06
4.0557e-05,1.92007e-06,1.95888e-06
4.10556e-05,1.94177e-06,1.98102e-06
4.15603e-05,1.96372e-06,2.00342e-06
4.20712e-05,1.98591e-06,2.02607e-06
4.25884e-05,2.00835e-06,2.04897e-06
4.31119e-05,2.03104e-06,2.07213e-06
4.36419e-05,2.05399e-06,2.09554e-06
4.41784e-05,2.07719e-06,2.11922e-06
4.47215e-05,2.10066e-06,2.14317e-06
4.52713e-05,2.12438e-06,2.16738e-06
4.58278e-05,2.14837e-06,2.19187e-06
4.63912e-05,2.17263e-06,2.21663e-06
4.69615e-05,2.19717e-06,2.24167e-06
4.75388e-05,2.22198e-06,2.26699e-06
4.81232e-05,2.24706e-06,2.29259e-06
4.87148e-05,2.27243e-06,2.31848e-06
4.93137e-05,2.29808e-06,2.34466e-06
4.99199e-05,2.32402e-06,2.37113e-06
5.05336e-05,2.35024e-06,2.3979e-06
5.11548e-05,2.37677e-06,2.42497e-06
5.17836e-05,2.40359e-06,2.45234e-06
5.24202e-05,2.4307e-06,2.48002e-06
5.30646e-05,2.45813e-06,2.50801e-06
5.3717e-05,2.48586e-06,2.53631e-06
5.43773e-05,2.5139e-06,2.56493e-06
5.50458e-05,2.54225e-06,2.59387e-06
5.57225e-05,2.57092e-06,2.62313e-06
5.64075e-05,2.59991e-06,2.65272e-06
5.71009e-05,2.62923e-06,2.68264e-06
5.78029e-05,2.65887e-06,2.7129e-06
5.85135e-05,2.68885e-06,2.74349e-06
5.92328e-05,2.71916e-06,2.77443e-06
5.9961e-05,2.74981e-06,2.80571e-06
6.06981e-05,2.7808e-06,2.83734e-06
6.14443e-05,2.81214e-06,2.86933e-06
6.21996e-05,2.84382e-06,2.90167e-06
