W,sigma_GLC,sigma_BG
101.9,3228.07,3438.19
93.2637,3134.32,3343.85
85.3594,3040.89,3249.68
78.1249,2947.86,3155.78
71.5036,2855.35,3062.23
65.4435,2763.44,2969.15
59.897,2672.24,2876.61
54.8206,2581.82,2784.71
50.1744,2492.3,2693.56
45.922,2403.77,2603.24
42.0299,2316.3,2513.84
38.4678,2230,2425.45
35.2075,2144.94,2338.17
32.2236,2061.21,2252.07
29.4926,1978.89,2167.23
26.993,1898.05,2083.75
24.7053,1818.77,2001.68
22.6114,1741.11,1921.11
20.6951,1665.13,1842.1
18.9411,1590.9,1764.72
17.3358,1518.47,1689.02
15.8665,1447.89,1615.06
14.5218,1379.19,1542.89
13.291,1312.41,1472.55
12.1646,1247.6,1404.08
11.1336,1184.77,1337.51
10.19,1123.95,1272.88
9.32637,1065.14,1210.2
8.53594,1008.37,1149.5
7.81249,953.634,1090.79
7.15036,900.931,1034.07
6.54435,850.255,979.349
5.9897,801.597,926.618
5.48206,754.938,875.873
5.01744,710.259,827.1
4.5922,667.534,780.282
4.20299,626.733,735.397
3.84678,587.823,692.42
3.52075,550.766,651.322
3.22236,515.523,612.069
